500901401171314, DUNASON, DUNASON, NOT FOUND, FRASCO C/ 15ML, ALC
500904701133315, DUO-TRAVATAN, DUO TRAVATAN, NOT FOUND, 0.04 MG/ML + 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 2.5 ML, ALC
500901401171314, DUNASON, DUNASON, NOT FOUND, FRASCO C/ 15ML, ALC
500904701133315, DUO-TRAVATAN, DUO TRAVATAN, NOT FOUND, 0.04 MG/ML + 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 2.5 ML, ALC
500901401171314, DUNASON, DUNASON, NOT FOUND, FRASCO C/ 15ML, ALC
500904701133315, DUO-TRAVATAN, DUO TRAVATAN, NOT FOUND, 0.04 MG/ML + 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 2.5 ML, ALC
500901401171314, DUNASON, DUNASON, NOT FOUND, FRASCO C/ 15ML, ALC
500904701133315, DUO-TRAVATAN, DUO TRAVATAN, NOT FOUND, 0.04 MG/ML + 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 2.5 ML, ALC
500901401171314, DUNASON, DUNASON, NOT FOUND, FRASCO C/ 15ML, ALC
500904701133315, DUO-TRAVATAN, DUO TRAVATAN, NOT FOUND, 0.04 MG/ML + 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 2.5 ML, ALC
500901401171314, DUNASON, DUNASON, NOT FOUND, FRASCO C/ 15ML, ALC
500904701133315, DUO-TRAVATAN, DUO TRAVATAN, NOT FOUND, 0.04 MG/ML + 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 2.5 ML, ALC
500901401171314, DUNASON, DUNASON, NOT FOUND, FRASCO C/ 15ML, ALC
500904701133315, DUO-TRAVATAN, DUO TRAVATAN, NOT FOUND, 0.04 MG/ML + 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 2.5 ML, ALC
500901401171314, DUNASON, DUNASON, NOT FOUND, FRASCO C/ 15ML, ALC
500904701133315, DUO-TRAVATAN, DUO TRAVATAN, NOT FOUND, 0.04 MG/ML + 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 2.5 ML, ALC
500901401171314, DUNASON, DUNASON, NOT FOUND, FRASCO C/ 15ML, ALC
500904701133315, DUO-TRAVATAN, DUO TRAVATAN, NOT FOUND, 0.04 MG/ML + 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 2.5 ML, ALC
500904701133315, DUO-TRAVATAN, DUO TRAVATAN, NOT FOUND, 0.04 MG/ML + 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 2.5 ML, ALC
500904701133315, DUO-TRAVATAN, DUO TRAVATAN, NOT FOUND, 0.04 MG/ML + 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 2.5 ML, ALC
