507901002150117, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 5 MG/ML SOL INJ CX 100 FR PLAS TRANS X 100 ML (EMB HOSP), EQX
507901002150117, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 5 MG/ML SOL INJ CX 100 FR PLAS TRANS X 100 ML (EMB HOSP), EQX
507901002150117, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 5 MG/ML SOL INJ CX 100 FR PLAS TRANS X 100 ML (EMB HOSP), EQX
507901002150117, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 5 MG/ML SOL INJ CX 100 FR PLAS TRANS X 100 ML (EMB HOSP), EQX
507901002150117, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 5 MG/ML SOL INJ CX 100 FR PLAS TRANS X 100 ML (EMB HOSP), EQX
507901002150117, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 5 MG/ML SOL INJ CX 100 FR PLAS TRANS X 100 ML (EMB HOSP), EQX
507901002150117, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 5 MG/ML SOL INJ CX 100 FR PLAS TRANS X 100 ML (EMB HOSP), EQX
507901002150117, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 5 MG/ML SOL INJ CX 100 FR PLAS TRANS X 100 ML (EMB HOSP), EQX
507901002150117, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 5 MG/ML SOL INJ CX 100 FR PLAS TRANS X 100 ML (EMB HOSP), EQX
507901002150117, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 5 MG/ML SOL INJ CX 100 FR AMP PLAS TRANS X 100 ML (EMB HOSP), EQX
507901002150117, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 5 MG/ML SOL INJ CX 100 FR AMP PLAS TRANS X 100 ML (EMB HOSP), EQX
