1677301600025; FLAMADOR; FLAMADOR; NOT FOUND; 25 MG/G GEL CT BG AL X 30 G; LG6
1677301600017; FLAMADOR; FLAMADOR; NOT FOUND; 50 MG CAP GEL DURA CT BL AL PLAS INC X 24; LG6
1677300070049; FLUOCINOLONA ACETONIDA +  SULFATO DE POLIMIXINA B + SULFATO DE NEOMICINA + CLORIDRATO DE LIDOCAÍNA; FLUOCINOLONA ACETONIDA SULFATO POLIMIXINA B SULFATO NEOMICINA CLORIDRATO LIDOCAINA; NOT FOUND; 0.250 MG/ ML + 10.000 UI/ ML + 3.500 MG/ ML + 20 MG/ ML SOL OTO CT FR PLAS OPC GOT X 10 ML; LG6
1677300070022; FLUOCINOLONA ACETONIDA + SULFATO DE NEOMICINA + SULFATO DE POLIMIXINA B + CLORIDRATO DE LIDOCAÍNA; FLUOCINOLONA ACETONIDA SULFATO NEOMICINA SULFATO POLIMIXINA B CLORIDRATO LIDOCAINA; NOT FOUND; 0.275 MG/ ML + 3.85 MG/ ML + 11.000 UI/ ML + 20 MG/ ML SOL OTO CT FR PLAS OPC GOT X 10 ML; LG6
1677300860031; FENOFIBRATO; FENOFIBRATO; FENOFIBRATO; 200 MG CAP GEL DURA CT BL AL PLAS OPC X 30; LG6
1677303370027; FENOBRATY; FENOBRATY; NOT FOUND; 200 MG CAP GEL DURA CT BL AL PLAS OPC X 30; LG6
1677302770013; FINASTERIDA; FINASTERIDA; FINASTERIDA; 5 MG COM REV CT BL AL PLAS OPC X 30; LG6
1677302620011; FUMARATO DE CETOTIFENO; FUMARATO CETOTIFENO; FUMARATO CETOTIFENO; 0.2 MG/ML XPE CT FR VD AMB X 120 ML + CP DOS; LG6
1677303320021; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 14; LG6
1677303320097; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 30; LG6
1677303320143; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 200 MG COM REV CT BL AL PLAS OPC X 30; LG6
1677301020029; FLAMANAN; FLAMANAN; NOT FOUND; 20MG COM SOL CT BL AL PLAS OPC X 10; LG6
