1677302980018; MONOZOL; MONOZOL; NOT FOUND; 80 MG/ML SUS OR CT FR VD AMB X 15 ML; LG6
1677302980042; MONOZOL; MONOZOL; NOT FOUND; 400 MG COM MAST CT BL AL PVDC BRANCO LEITOSO X 1; LG6
1677302740017; MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA; MALEATO DEXCLORFENIRAMINA BETAMETASONA; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; LG6
1677302040023; MIGRANETTE; MIGRANETTE; NOT FOUND; 300 MG + 30 MG + 30 MG DRG CT BL AL PLAS INC X 20; LG6
1677301070050; MIOFIBRAX; MIOFIBRAX; NOT FOUND; 10 MG COM REV CT BL AL PLAS OPC X 15; LG6
1677301070158; MIOFIBRAX; MIOFIBRAX; NOT FOUND; 5 MG COM REV CT BL AL PLAS OPC X 15; LG6
1677301070174; MIOFIBRAX; MIOFIBRAX; NOT FOUND; 5 MG COM REV CT BL AL PLAS OPC X 30; LG6
1677301070077; MIOFIBRAX; MIOFIBRAX; NOT FOUND; 10 MG COM REV CT BL AL PLAS OPC X 30; LG6
1677302650077; MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA; MALEATO ENALAPRIL HIDROCLOROTIAZIDA; NOT FOUND; 20 MG + 12.5 MG COM CT BL AL AL X 30; LG6
1677300310023; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 2.8 MG/ML SOL OR  CT FR PLAS OPC GOT X 20 ML; LG6
1677302640039; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED; LG6
1677303120020; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 2 MG COM CT BL AL PLAS OPC X 20; LG6
1677302670035; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 5 MG COM CT BL AL / AL X 30; LG6
1677302670426; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10 MG COM CT BL AL/AL X 30; LG6
1677302670477; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 20 MG COM CT BL AL/AL X 30; LG6
1677302000064; MELOXIGRAN; MELOXIGRAN; NOT FOUND; 15 MG COM CT BL AL PLAS OPC X 10; LG6
1677302660021; MELOXICAM; MELOXICAM; MELOXICAM; 7.5 MG COM CT BL AL PLAS OPC X 10; LG6
1677302660072; MELOXICAM; MELOXICAM; MELOXICAM; 15 MG COM CT BL AL PLAS OPC X 10; LG6
1677302210077; MESALAZINA; MESALAZINA; MESALAZINA; 800 MG COM REV CT BL AL PLAS LEIT X 30; LG6
1677303200040; MESILATO DE DOXAZOSINA; MESILATO DOXAZOSINA; MESILATO DOXAZOSINA; 2 MG COM CT BL AL PLAS LEIT X 30; LG6
