1677301840018; BRONCOLEX; BRONCOLEX; NOT FOUND; 5 MG/ML XPE INF CT FR VD AMB X 120 ML + CP MED X 10 ML; LG6
1677301840026; BRONCOLEX; BRONCOLEX; NOT FOUND; 10 MG/ML XPE AD CT FR VD AMB X 120 ML + CP MED X 10 ML; LG6
1677300790033; BONAGRAN; BONAGRAN; NOT FOUND; 70 MG COM CT BL AL PLAS OPC X 8; LG6
1677300790025; BONAGRAN; BONAGRAN; NOT FOUND; 70 MG COM CT BL AL PLAS OPC X 4; LG6
1677302050029; BEZAFIBRATO; BEZAFIBRATO; BEZAFIBRATO; 200 MG COM REV CT BL AL PLAS LEIT X 20; LG6
1677300980029; BIMATOPROSTA; BIMATOPROSTA; BIMATOPROSTA; 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X  3 ML; LG6
1677300980037; BIMATOPROSTA; BIMATOPROSTA; BIMATOPROSTA; 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; LG6
1677303080029; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75 MG COM REV CT BL AL AL X 28; LG6
1677300590018; BROMETO DE IPRATRÓPIO; BROMETO IPRATROPIO; BROMETO IPRATROPIO; 0.25 MG/ML SOL P/ INAL CT FR VD AMB GOT X 20 ML ; LG6
1677303710030; BROMETO DE PINAVÉRIO; BROMETO PINAVERIO; BROMETO PINAVERIO; 100 MG COM REV CT BL AL PLAS OPC X 30; LG6
1677302350022; BROMIDRATO DE CITALOPRAM; BROMIDRATO CITALOPRAM; BROMIDRATO CITALOPRAM; 20 MG COM REV CT BL AL PLAS OPC X 28; LG6
1677303050022; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 1 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED; LG6
1677303050049; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 4 MG/ML SOL OR CT FR VD AMB X 20 ML + CGT; LG6
1677301330044; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 10 MG CAP GEL DURA CT BL PLAS OPC X 20; LG6
1677301530061; BRONXINA; BRONXINA; NOT FOUND; 1.6 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; LG6
1677303460018; BUPOGRAN; BUPOGRAN; NOT FOUND; 150 MG COM REV LIB PROL CT BL AL AL X 10; LG6
1677303460042; BUPOGRAN; BUPOGRAN; NOT FOUND; 150 MG COM REV LIB PROL CT BL AL AL X 30; LG6
1677303460050; BUPOGRAN; BUPOGRAN; NOT FOUND; 150 MG COM REV LIB PROL CT BL AL AL X 60; LG6
1677300700042; BIALUDEX; BIALUDEX; NOT FOUND; 3.5 MG/G + 1.0 MG/G POM OFT CT BG AL X 3.5 G; LG6
1677302360036; BENEVRAN; BENEVRAN; NOT FOUND; 15 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML; LG6
1677302360044; BENEVRAN; BENEVRAN; NOT FOUND; 11.6 MG/G GEL CT BG AL X 60 G; LG6
1677302360052; BENEVRAN; BENEVRAN; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 20; LG6
1677301580024; BETROSPAM; BETROSPAM; NOT FOUND; (5 + 2) MG/ML SUS INJ CT AMP VD INC; LG6
1677300500035; BRONQUITOSS; BRONQUITOSS; NOT FOUND; 0.3 MG/ ML + 13.3 MG/ ML XPE CT FR VD AMB X 120 ML + COP; LG6
