1677301280012; GLAUCUR; GLAUCUR; NOT FOUND; 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 3 ML; LG6
1677301280039; GLAUCUR; GLAUCUR; NOT FOUND; 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; LG6
1677302780035; GABAPENTINA; GABAPENTINA; GABAPENTINA; 300 MG CAP GEL DURA CT BL AL PLAS OPC X 30; LG6
1677302780183; GABAPENTINA; GABAPENTINA; GABAPENTINA; 400 MG CAP GEL DURA CT BL AL PLAS OPC X 30; LG6
1677303380022; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 600 MG COM REV CT BL AL PLAS OPC X 24   ; LG6
1677303380030; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 900 MG COM REV CT BL AL PLAS OPC X 12 ; LG6
1677301160033; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 4 MG COM CT BL AL PLAS OPC X 30; LG6
1677301160211; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 2 MG COM CT BL AL PLAS OPC X 60; LG6
1677301160203; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 2 MG COM CT BL AL PLAS OPC X 30; LG6
1677302440056; GLIANSOR; GLIANSOR; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 30; LG6
1677302440072; GLIANSOR; GLIANSOR; NOT FOUND; 4 MG COM CT BL AL PLAS INC X 30; LG6
1677302440021; GLIANSOR; GLIANSOR; NOT FOUND; 1 MG COM CT BL AL PLAS INC X 30; LG6
1677303000025; GUAIFENESINA; GUAIFENESINA; GUAIFENESINA; 13.33 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED; LG6
1677303000051; GUAIFENESINA; GUAIFENESINA; GUAIFENESINA; 16 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED; LG6
