1677301450201; LIPIGRAND; LIPIGRAND; NOT FOUND; 80 MG COM REV CT BL AL/AL X 30; LG6
1677301450023; LIPIGRAND; LIPIGRAND; NOT FOUND; 10 MG COM REV CT BL AL/AL X 30; LG6
1677301450082; LIPIGRAND; LIPIGRAND; NOT FOUND; 20 MG COM REV CT BL AL/AL X 30; LG6
1677301450104; LIPIGRAND; LIPIGRAND; NOT FOUND; 20 MG COM REV CT BL AL/AL X 60; LG6
1677301450147; LIPIGRAND; LIPIGRAND; NOT FOUND; 40 MG COM REV CT BL AL/AL X 30; LG6
1677301450163; LIPIGRAND; LIPIGRAND; NOT FOUND; 40 MG COM REV CT BL AL/AL X 60; LG6
1677303870021; LOMYTRAT; LOMYTRAT; NOT FOUND; 50 MG/ML ESM CT FR VD AMB X 2.5 ML + (10 ESP + 30 COMPRESS + 30 LIXAS); LG6
1677302820053; LOSARTANA POTÁSSICA + HIDROCLOROTIAZIDA; LOSARTANA POTASSICA HIDROCLOROTIAZIDA; NOT FOUND; 50 MG + 12.5 MG COM REV CT BL AL PLAS LEIT X 30; LG6
1677302820118; LOSARTANA POTÁSSICA + HIDROCLOROTIAZIDA; LOSARTANA POTASSICA HIDROCLOROTIAZIDA; NOT FOUND; 100 MG + 25 MG COM REV CT BL AL PLAS LEIT X 30; LG6
1677302820061; LOSARTANA POTASSICA + HIDROCLOROTIAZIDA; LOSARTANA POTASSICA HIDROCLOROTIAZIDA; NOT FOUND; 50 MG + 12.5 MG COM REV CT BL AL PLAS OPC X 60; LG6
1677302820126; LOSARTANA POTASSICA + HIDROCLOROTIAZIDA; LOSARTANA POTASSICA HIDROCLOROTIAZIDA; NOT FOUND; 100 MG + 25 MG COM REV CT BL AL PLAS OPC X 60 ; LG6
1677300540029; LACTULIV; LACTULIV; NOT FOUND; 667 MG/ML XPE CT FR VD AMB X 120 ML + CP MED (SABOR AMEIXA); LG6
1677300540088; LACTULIV; LACTULIV; NOT FOUND; 667 MG/ML XPE CT FR VD AMB X 120 ML + CP MED (SABOR SALADA DE FRUTAS); LG6
1677303010012; LANSOPRAZOL; LANSOPRAZOL; LANSOPRAZOL; 15 MG CAP GEL DURA C/ MICROG LIB RET CT BL AL PLAS INC X 14; LG6
1677303010020; LANSOPRAZOL; LANSOPRAZOL; LANSOPRAZOL; 30 MG CAP GEL DURA C/ MICROG LIB RET CT BL AL PLAS INC X 14; LG6
1667303010047; LANSOPRAZOL; LANSOPRAZOL; LANSOPRAZOL; 30 MG CAP GEL DURA C/ MICROG LIB RET CT BL AL PLAS INC X 28; LG6
1677303010039; LANSOPRAZOL; LANSOPRAZOL; LANSOPRAZOL; 30 MG CAP GEL DURA C/ MICROG LIB RET CT BL AL PLAS INC X 7; LG6
1677300890011; LATANOPROSTA; LATANOPROSTA; LATANOPROSTA; 0.05 MG/ML SOL OFT CT FR PLAS OPC GOT X 2.5 ML; LG6
1677300890021; LATANOPROSTA; LATANOPROSTA; LATANOPROSTA; 0.05 MG/ML SOL OFT CT FR PLAS TRANS GOT X 2.5 ML ; LG6
1677302430018; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS OPC X 3; LG6
1677302430026; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS OPC X 7; LG6
1677302430034; LEVOFLOXACINO; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS OPC X 10; LG6
1677302420020; LORATADINA; LORATADINA; LORATADINA; 1 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; LG6
1677303030013; LORATADINA + SULFATO DE PSEUDOEFEDRINA; LORATADINA SULFATO PSEUDOEFEDRINA; NOT FOUND; 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 60 ML + CP MED; LG6
1677302750020; LORAZEPAM; LORAZEPAM; LORAZEPAM; 1 MG COM CT BL AL PLAS OPC X 20; LG6
1677302750071; LORAZEPAM; LORAZEPAM; LORAZEPAM; 2 MG COM CT BL AL PLAS OPC X 20; LG6
1677302990455; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS LEIT X 60; LG6
1677302990080; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 100 MG COM REV CT BL AL PLAS LEIT X 30; LG6
1677302990447; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT BL AL PLAS LEIT X 30; LG6
1677304000010; LEUPHILA; LEUPHILA; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 60 ; LG6
1677304000037; LEUPHILA; LEUPHILA; NOT FOUND; 400 MG COM REV CT BL AL PLAS OPC X 30; LG6
