1677301370011; PERLUMES; PERLUMES; NOT FOUND; 150 MG/ML + 10 MG/ML SOL INJ CT AMP VD AMB X 1 ML ; LG6
1677302320018; PARACETAMOL + CAFEÍNA; PARACETAMOL CAFEINA; NOT FOUND; 500 MG + 65 MG COM REV CT BL AL PLAS LEIT X 20; LG6
1677301120147; PAROXILIV; PAROXILIV; NOT FOUND; 20 MG COM REV CT BL AL PLAS OPC X 30; LG6
1677301910024; PARALGEN SINUS; PARALGEN SINUS; NOT FOUND; 500 MG + 30 MG COM REV CT BL PLAS LEIT X 24; LG6
1677301910032; PARALGEN SINUS; PARALGEN SINUS; NOT FOUND; 500 MG + 30 MG COM REV CT BL PLAS LEIT X 120 (EMB FRAC); LG6
1677302160010; PEPSOGEL; PEPSOGEL; NOT FOUND; 40 MG + 30 MG + 5 MG SUS OR CT FR VD INC X 240 ML; LG6
1677303720028; PREVYASM; PREVYASM; NOT FOUND; 3 MG + 0.03 MG COM REV CT BL AL PLAS OPC X 21; LG6
1677303160014; PREVIANE; PREVIANE; NOT FOUND; 0.075 MG + 0.02 MG COM REV CT BL AL PLAS INC - CALEND X 21; LG6
1677303160030; PREVIANE; PREVIANE; NOT FOUND; 0.075 MG + 0.02 MG COM REV CT 3 BL AL PLAS INC - CALEND X 21; LG6
1677300910020; PRURI-GRAN; PRURI GRAN; NOT FOUND; 2 MG/ ML SOL OR CT FR PLAS OPC X 120 ML + CP MED; LG6
1677301730018; PREVYOL-2; PREVYOL 2; NOT FOUND; 0.75 MG COM CT BL AL PLAS INC X 2; LG6
1677301850013; PRESSEL; PRESSEL; NOT FOUND; 5.0 MG COM CT STR X 30; LG6
1677301850021; PRESSEL; PRESSEL; NOT FOUND; 10 MG COM CT STR X 30; LG6
1677301850048; PRESSEL; PRESSEL; NOT FOUND; 20 MG COM CT STR X 30; LG6
1677301200094; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT BL AL AL X 42; LG6
1677301200116; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV CT BL AL AL X 42; LG6
1677301200061; PANTOPRAZOL SÓDICO SESQUIHIIDRATADO; PANTOPRAZOL SODICO SESQUIHIIDRATADO; NOT FOUND; 40 MG COM REV CT BL AL/AL X 14; LG6
1677301200027; PANTOPRAZOL SÓDICO SESQUIHIIDRATADO; PANTOPRAZOL SODICO SESQUIHIIDRATADO; NOT FOUND; 20 MG COM REV CT BL AL/AL X 14; LG6
1677301200035; PANTOPRAZOL SÓDICO SESQUIHIIDRATADO; PANTOPRAZOL SODICO SESQUIHIIDRATADO; NOT FOUND; 20 MG COM REV CT BL AL/AL X 28; LG6
1677301200078; PANTOPRAZOL SÓDICO SESQUIHIIDRATADO; PANTOPRAZOL SODICO SESQUIHIIDRATADO; NOT FOUND; 40 MG COM REV CT BL AL/AL X 28; LG6
1677302130065; PARACETAMOL; PARACETAMOL; PARACETAMOL; 100 MG/ML SUS OR CT FR PLAS TRANS X 15 ML + SER DOSAD; LG6
1677303110068; PARACETAMOL; PARACETAMOL; PARACETAMOL; 32 MG/ML SUS OR CT FR PLAS TRANS X 60 ML + CP MED; LG6
1677303170028; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; LG6
1677301820041; PARALGEN; PARALGEN; NOT FOUND; 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; LG6
1677302260041; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM REV CT BL AL PLAS LEIT X 200 (EMB HOSP); LG6
1677302260031; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM REV CT BL AL PLAS LEIT X 20; LG6
1677301820017; PARALGEN; PARALGEN; NOT FOUND; 750 MG COM REV CT BL AL PLAS INC X 20; LG6
1677300850028; PIROXICAM; PIROXICAM; PIROXICAM; 20MG COM SOL CT BL AL PLAS OPC X 10; LG6
1677303140110; PRED-GRAN; PRED GRAN; NOT FOUND; 20 MG COM CT BL AL AL X 10; LG6
1677303620147; PREDNISOLONA; PREDNISOLONA; PREDNISOLONA; 20 MG COM CT BL AL AL X 10; LG6
1677301740021; PREDINIS; PREDINIS; NOT FOUND; 20 MG COM CT BL AL PLAS INC X 10; LG6
1677301740013; PREDINIS; PREDINIS; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 20; LG6
1677302240049; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT BL AL PLAS LEIT X 10; LG6
1677302240030; PREDNISONA; PREDNISONA; PREDNISONA; 5 MG COM CT BL AL PLAS OPC X 20; LG6
