1677301670023; CENEVIT ARG; CENEVIT ARG; NOT FOUND; 1000 MG + 1000 MG COM EFEV CT TB PLAS X 16; LG6
1677302540018; CELERG; CELERG; NOT FOUND; 0.25 MG + 2 MG / 5 ML XPE CT FR VD AMB X 120 ML - CP MED (EMB HOSP); LG6
1677302540069; CELERG; CELERG; NOT FOUND; 0.25 MG + 2 MG COM CT 2 BL AL PLAS INC X 10; LG6
1677303090024; CLOPIDO-GRAN; CLOPIDO GRAN; NOT FOUND; 75 MG COM REV CT AL AL X 28; LG6
1677302680014; CITAFORIN; CITAFORIN; NOT FOUND; 20 MG COM REV CT BL AL PLAS OPC X 30; LG6
1677302340035; CITRATO DE ORFENADRINA + DIPIRONA SÓDICA + CAFEÍNA; CITRATO ORFENADRINA DIPIRONA SODICA CAFEINA; NOT FOUND; 35 MG/ML + 300 MG/ML + 50 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; LG6
1677303900026; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; 8 MG  COM CT BL AL PLAS OPC X 30; LG6
1677303900077; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; 16 MG  COM CT BL AL PLAS OPC X 30; LG6
1677303920027; CANSARCOR; CANSARCOR; NOT FOUND; 8 MG COM CT BL AL PLAS OPC X 30; LG6
1677303920078; CANSARCOR; CANSARCOR; NOT FOUND; 16 MG COM CT BL AL PLAS OPC X 30; LG6
1677303990025; CANSARCOR HCT; CANSARCOR HCT; NOT FOUND; 8 MG + 12.5 MG COM CT BL AL PLAS OPC X 30; LG6
1677303990076; CANSARCOR HCT; CANSARCOR HCT; NOT FOUND; 16 MG + 12.5 MG COM CT BL AL PLAS OPC X 30; LG6
1677303980021; CANDESARTANA CILEXETILA+HIDROCLOROTIAZIDA; CANDESARTANA CILEXETILA HIDROCLOROTIAZIDA; NOT FOUND; 8 MG + 12.5 MG COM CT BL AL PLAS OPC X 30; LG6
1677303980070; CANDESARTANA CILEXETILA+HIDROCLOROTIAZIDA; CANDESARTANA CILEXETILA HIDROCLOROTIAZIDA; NOT FOUND; 16 MG + 12.5 MG COM CT BL AL PLAS OPC X 30; LG6
1677303190134; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAS LEIT X 30; LG6
1677303190045; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT BL AL PLAS LEIT X 30; LG6
1677303190096; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS LEIT X 30; LG6
1677303730023; CARVEDILOL; CARVEDILOL; CARVEDILOL; 3.125 MG COM CT BL AL AL X 15; LG6
1677303730041; CARVEDILOL; CARVEDILOL; CARVEDILOL; 3.125 MG COM CT BL AL AL X 30; LG6
1677303730090; CARVEDILOL; CARVEDILOL; CARVEDILOL; 6.25MG COM CT BL AL AL X 15; LG6
1677303730112; CARVEDILOL; CARVEDILOL; CARVEDILOL; 6.25MG COM CT BL AL AL X 30; LG6
1677303730163; CARVEDILOL; CARVEDILOL; CARVEDILOL; 12.5MG COM CT AL AL X 15; LG6
1677303730181; CARVEDILOL; CARVEDILOL; CARVEDILOL; 12.5MG COM CT AL AL X 30; LG6
1677303730198; CARVEDILOL; CARVEDILOL; CARVEDILOL; 12.5MG COM CT AL AL X 60; LG6
1677303730252; CARVEDILOL; CARVEDILOL; CARVEDILOL; 25MG COM CT BL AL AL X 30; LG6
1677303730260; CARVEDILOL; CARVEDILOL; CARVEDILOL; 25MG COM CT BL AL AL X 60; LG6
1677303740029; CARVEGRAN; CARVEGRAN; NOT FOUND; 3.125 MG COM CT BL AL AL X 15; LG6
1677303740045; CARVEGRAN; CARVEGRAN; NOT FOUND; 3.125 MG COM CT BL AL AL X 30; LG6
1677303740096; CARVEGRAN; CARVEGRAN; NOT FOUND; 6.25 MG COM CT BL AL AL X 15; LG6
1677303740118; CARVEGRAN; CARVEGRAN; NOT FOUND; 6.25 MG COM CT BL AL AL X 30; LG6
1677303740185; CARVEGRAN; CARVEGRAN; NOT FOUND; 12.5 MG COM CT BL AL AL X 30; LG6
1677303740258; CARVEGRAN; CARVEGRAN; NOT FOUND; 25 MG COM CT BL AL AL X 30; LG6
1677302970012; CEFACLOR; CEFACLOR; CEFACLOR; 250 MG CAP GEL DURA CT BL AL PLAS OPC X 10; LG6
