1677301900010; DEXADERMIL; DEXADERMIL; NOT FOUND; 1MG/G CREM DERM CT BG AL X 10 G; LG6
1677302100034; DORILEN; DORILEN; NOT FOUND; (500 MG + 10 MG + 5 MG) / 1.5 ML SOL OR CT FR VD CGT X 15 ML; LG6
1677302100085; DORILEN; DORILEN; NOT FOUND; (500 MG + 10 MG + 5 MG) / 1.5 ML SOL OR CT FR VD CGT X 20 ML; LG6
1677302100042; DORILEN; DORILEN; NOT FOUND; 500 MG + 10 MG + 5 MG COM CT BL AL PLAS OPC X 12; LG6
1677302100077; DORILEN; DORILEN; NOT FOUND; 500 MG + 10 MG + 5 MG COM CT BL AL PLAS OPC X 16; LG6
1677301570037; DORYDRIN; DORYDRIN; NOT FOUND; 35 MG + 300 MG +50 MG COM CT BL AL PLAS LARANJA X 240; LG6
1677300710064; DERM PROX; DERM PROX; NOT FOUND; 10 MG/ML SOL TOP CT FR GOT PLAS TRANS X 15 ML; LG6
1677300710021; DERM PROX; DERM PROX; NOT FOUND; 10 MG/G CREM DERM CT BG AL X 20 G; LG6
1677303880025; DULORGRAN; DULORGRAN; NOT FOUND; 30 MG CAP GEL LIB RETARD CT BL AL AL X 15; LG6
1677303880033; DULORGRAN; DULORGRAN; NOT FOUND; 30 MG CAP GEL LIB RETARD CT BL AL AL X 30; LG6
1677303880084; DULORGRAN; DULORGRAN; NOT FOUND; 60 MG CAP GEL LIB RETARD CT BL AL AL X 30; LG6
1677303880017; DULORGRAN; DULORGRAN; NOT FOUND; 30 MG CAP GEL LIB RETARD CT BL AL AL X 7 ; LG6
1677301830020; DERMOBENE; DERMOBENE; NOT FOUND; 10 MG/ML SOL TOP CT FR PLAS OPC GOT X 20 ML; LG6
1677301830012; DERMOBENE; DERMOBENE; NOT FOUND; 10 MG/G CREM CT BG AL X 20 G; LG6
1677302790022; DEFLAZACORTE; DEFLAZACORTE; DEFLAZACORTE; 6 MG COM CT BL AL PLAS OPC X 20; LG6
1677302790057; DEFLAZACORTE; DEFLAZACORTE; DEFLAZACORTE; 30 MG COM CT BL AL PLAS OPC X 10; LG6
1677301180034; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5MG/ML XPE CT FR VD AMB X 100 ML + SER DOSAD; LG6
1677301180026; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5MG/ML XPE CT FR VD AMB X 60 ML + SER DOSAD; LG6
1677301170063; DESLORANA; DESLORANA; NOT FOUND; 0.5 MG/ML XPE  CT FR VD AMB X 60 ML + SER DOSAD; LG6
1677301170071; DESLORANA; DESLORANA; NOT FOUND; 0.5 MG/ML XPE  CT FR VD AMB X 100 ML + SER DOSAD; LG6
1677300820021; DESLORATADINA; DESLORATADINA; DESLORATADINA; 5 MG COM VER CT BL AL PLAS OPC X 10; LG6
1677301170039; DESLORANA; DESLORANA; NOT FOUND; 5 MG COM REV CT BL AL PLAS OPC X 10; LG6
1677300820064; DESLORATADINA; DESLORATADINA; DESLORATADINA; 5 MG COM REV CT BL AL PLAS OPC X 30; LG6
1677301170098; DESLORANA; DESLORANA; NOT FOUND; 5 MG COM REV CT BL AL PLAS OPC X 30; LG6
1677302580011; DESONIDA; DESONIDA; DESONIDA; 0.5 MG/G CREM CT BG AL X 30 G; LG6
1677302700074; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.75 MG COM CT BL AL PLAS OPC X 20; LG6
1677302700112; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 4 MG COM CT BL AL PLAS OPC X 10; LG6
1677302190025; DIAZEPAM; DIAZEPAM; DIAZEPAM; 10 MG COM CT BL AL PLAS INC X 20; LG6
1677302190076; DIAZEPAM; DIAZEPAM; DIAZEPAM; 5 MG COM CT BL AL PLAS INC X 20; LG6
1677302190084; DIAZEPAM; DIAZEPAM; DIAZEPAM; 5 MG COM CT BL AL PLAS INC X 30; LG6
1677302190033; DIAZEPAM; DIAZEPAM; DIAZEPAM; 10 MG COM CT BL AL PLAS INC X 30; LG6
1677303260019; DICLOFENACO RESINATO; DICLOFENACO RESINATO; NOT FOUND; 15 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML; LG6
1677301800091; DRYLTAC; DRYLTAC; NOT FOUND; 140 MG CAP GEL DURA CT BL AL PLAS BRANCO LEITOSO X 20; LG6
1677301800083; DRYLTAC; DRYLTAC; NOT FOUND; 140 MG CAP GEL DURA CT BL AL PLAS BRANCO LEITOSO X 14; LG6
1677301800075; DRYLTAC; DRYLTAC; NOT FOUND; 140 MG CAP GEL DURA CT BL AL PLAS BRANCO LEITOSO X 10; LG6
1677302810023; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; 140 MG CAP GEL DURA CT BL AL PLAS OPC X 14; LG6
1677302810031; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; 140 MG CAP GEL DURA CT BL AL PLAS OPC X 20; LG6
1677303390011; DICLOAIR; DICLOAIR; NOT FOUND; 11.6 MG/G SOL AER DERM FILME PLAS CIL AL X 85 ML; LG6
1677300720027; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 100 MG COM  REV DESINT LENTA BL AL PLAS INC X 20; LG6
1677300720019; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 100 MG COM  REV DESINT LENTA BL AL PLAS INC X 10 ; LG6
1677303500036; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COM REV LIB RETARD CT BL AL PLAS INC X 20; LG6
1677303820014; DICLORIDRATO DE PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; 0.125 MG COM CT BL AL AL X 30 ; LG6
1677303820091; DICLORIDRATO DE PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; 0.25 MG COM CT BL AL AL X 30  ; LG6
1677303820170; DICLORIDRATO DE PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; 1 MG COM CT BL AL AL X 30 ; LG6
1677302090020; DIMETICONA; DIMETICONA; DIMETICONA; 40 MG COM CT BL AL PLAS INC X 20; LG6
1677300350017; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 50 MG/ML SOL OR CT FR VD AMB X 100 ML + CP MED ; LG6
1677302600010; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; LG6
1677302600029; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; LG6
1677302690095; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 240 (EMB HOSP); LG6
1677302200020; DIPROPIONATO DE BETAMETASONA + SULFATO DE GENTAMICINA; DIPROPIONATO BETAMETASONA SULFATO GENTAMICINA; NOT FOUND; 0.5 MG/G + 1 MG/G POM DERM CT BG AL X 30 G; LG6
1677303060028; DIPROPIONATO DE BETAMETASONA + SULFATO DE GENTAMICINA; DIPROPIONATO BETAMETASONA SULFATO GENTAMICINA; NOT FOUND; 0.5 MG/G + 1 MG/G CREM DERM CT BG AL X 30 G; LG6
1677301400050; DOMPERIDONA; DOMPERIDONA; DOMPERIDONA; 10 MG COM CT BL AL PLAS OPC X 60; LG6
1677301400034; DOMPERIDONA; DOMPERIDONA; DOMPERIDONA; 10 MG COM CT BL AL PLAS OPC X 30; LG6
1677301390039; DOMPGRAN; DOMPGRAN; NOT FOUND; 10 MG COM CT BL AL PLAS OPC X 30; LG6
1677303490022; DROSPIRENONA+ETINILESTRADIOL; DROSPIRENONA ETINILESTRADIOL; NOT FOUND; 3 MG+ 0.03MG COM REV CT 3 BL AL PLAS OPC X 21  ; LG6
1677304020011; DROSPIRENONA+ETINILESTRADIOL; DROSPIRENONA ETINILESTRADIOL; NOT FOUND; 3 MG + 0.02 MG COM REV CT BL AL PLAS OPC X 24; LG6
1677303490014; DROSPIRENONA + ETINILESTRADIOL; DROSPIRENONA ETINILESTRADIOL; NOT FOUND; 3 MG+ 0.03MG COM REV CT BL AL PLAS OPC X 21; LG6
1677301880011; DERMOSTATIN; DERMOSTATIN; NOT FOUND; 100.000 UI / G + 200 MG / G POM DERM CT BG AL X 60 G; LG6
