1677301380025; OTOGRAN; OTOGRAN; NOT FOUND; 3.0 MG/ML SOL OTO CT FR PLAS OPC GOT X 10 ML; LG6
1677301710017; ONCILEG; ONCILEG; NOT FOUND; 1 MG + 2.5 MG + 0.25 MG + 100.000 UI POM DERM CT BG AL X 30 G; LG6
1677301710025; ONCILEG; ONCILEG; NOT FOUND; 1 MG + 2.5 MG + 0.25 MG + 100.000 UI CREM DERM CT BG AL X 30 G; LG6
1677302400011; OFLOXACINO; OFLOXACINO; OFLOXACINO; 3 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML; LG6
1677301620034; OLANZAPINA; OLANZAPINA; OLANZAPINA; 2.5 MG COM REV CT BL AL AL X 28; LG6
1677301620166; OLANZAPINA; OLANZAPINA; OLANZAPINA; 10 MG COM REV CT BL AL AL X 28; LG6
1677301620107; OLANZAPINA; OLANZAPINA; OLANZAPINA; 5 MG COM REV CT BL AL AL X 28; LG6
1677301610039; OLAZOFREN; OLAZOFREN; NOT FOUND; 2.5 MG COM REV CT BL AL AL X 28; LG6
1677301610179; OLAZOFREN; OLAZOFREN; NOT FOUND; 10 MG COM REV CT BL AL AL X 28; LG6
1677301610101; OLAZOFREN; OLAZOFREN; NOT FOUND; 5 MG COM REV CT BL AL AL X 28; LG6
1677303640067; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10MG COM REV CT BL AL PLAS OPC X 30; LG6
1677303640210; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 15 MG COM REV CT BL AL PLAS OPC X 30; LG6
