1677300460017; INFLADEX; INFLADEX; NOT FOUND; 10O MG  COM  REV  DESINT LENTA CT BL AL PLAS INC X 10 ; LG6
1677300460025; INFLADEX; INFLADEX; NOT FOUND; 10O MG  COM  REV  DESINT LENTA CT BL AL PLAS INC X 20 ; LG6
1677300630028; IBUPROFENO; IBUPROFENO; IBUPROFENO; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 30 ML ; LG6
1677301040011; IBUPROFENO; IBUPROFENO; IBUPROFENO; 100 MG/ML SUS OR CT FR PLAS OPC X 20 ML + CGT ; LG6
1677300880121; IBUFLEX; IBUFLEX; NOT FOUND; 100 MG/ML SUS OR CT FR PLAS OPC X 30 ML + CGT; LG6
1677300880237; IBUFLEX; IBUFLEX; NOT FOUND; 400 MG CAP GEL MOLE CT BL AL PLAS INC X 8; LG6
1677300880261; IBUFLEX; IBUFLEX; NOT FOUND; 400 MG CAP GEL MOLE CT BL AL PLAS INC X 40 (EMB MULT); LG6
1677303520045; INDAPAMIDA; INDAPAMIDA; INDAPAMIDA; 1.5 MG COM REV CT BL AL AL X 30; LG6
1677303530040; INDATRAT; INDATRAT; NOT FOUND; 1.5 MG COM REV CT BL AL AL X 30; LG6
1677301860027; INFLALID; INFLALID; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML; LG6
1677301860019; INFLALID; INFLALID; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 12; LG6
