1677302300033; VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL; VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL; NOT FOUND; 0.5 MG/G + 1 MG/G + 10 MG/G + 10 MG/G CREM DERM CT BG AL X 20 G; LG6
1677302280032; VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL; VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL; NOT FOUND; 0.5 MG/G + 1.0 MG/G + 10 MG/G + 10 MG/G POM DERM CT BG AL X 20 G; LG6
1677303610028; VALSARTANA + HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 80 MG + 12.5 MG COM REV CT BL AL AL X 30; LG6
1677303610141; VALSARTANA + HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 160 MG + 12.5 MG COM REV CT BL AL AL X 30; LG6
1677303610109; VALSARTANA + HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 160 MG + 25 MG COM REV CT BL AL AL X 30; LG6
1677303610060; VALSARTANA + HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 320 MG + 25 MG COM REV CT BL AL AL X 30; LG6
1677303600022; VALSACOR HCT; VALSACOR HCT; NOT FOUND; 80 MG + 12.5 COM REV CL BL AL AL X 30; LG6
1677303600146; VALSACOR HCT; VALSACOR HCT; NOT FOUND; 160 MG + 12.5 MG COM REV CT BL AL AL X 30; LG6
1677303600103; VALSACOR HCT; VALSACOR HCT; NOT FOUND; 160 MG + 25 MG COM REV CT BL AL AL X 30; LG6
1677303600065; VALSACOR HCT; VALSACOR HCT; NOT FOUND; 320 MG + 25 MG COM REV CT BL AL AL X 30; LG6
1677303610184; VALSARTANA + HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 320 MG + 12.5 MG COM REV CT BL AL AL X 30; LG6
