1427700360126; MEGADOL; MEGADOL; NOT FOUND; 50 MG/ML SOL INJ CT 10 AMP VD INC X 2 ML; CL9
1427700360061; MEGADOL; MEGADOL; NOT FOUND; 50 MG/ML SOL INJ CT 25 AMP VD INC X 1 ML; CL9
1427700360088; MEGADOL; MEGADOL; NOT FOUND; 50 MG/ML SOL INJ CT 100 AMP VD INC X 1 ML; CL9
1427700360096; MEGADOL; MEGADOL; NOT FOUND; 50 MG/ML SOL INJ CT 1 AMP VD INC X 2 ML; CL9
1427700360045; MEGADOL; MEGADOL; NOT FOUND; 50 MG/ML SOL INJ CT 10 AMP VD INC X 1 ML; CL9
1427700360118; MEGADOL; MEGADOL; NOT FOUND; 50 MG/ML SOL INJ CT 6 AMP VD INC X 2 ML; CL9
1427700360053; MEGADOL; MEGADOL; NOT FOUND; 50 MG/ML SOL INJ CT 12 AMP VD INC X 1 ML; CL9
1427700360134; MEGADOL; MEGADOL; NOT FOUND; 50 MG/ML SOL INJ CT 12 AMP VD INC X 2 ML; CL9
1427700360142; MEGADOL; MEGADOL; NOT FOUND; 50 MG/ML SOL INJ CT 25 AMP VD INC X 2 ML; CL9
1427700360150; MEGADOL; MEGADOL; NOT FOUND; 50 MG/ML SOL INJ CT 50 AMP VD INC X 2 ML; CL9
1427700360169; MEGADOL; MEGADOL; NOT FOUND; 50 MG/ML SOL INJ CT 100 AMP VD INC X 2 ML; CL9
1427700360101; MEGADOL; MEGADOL; NOT FOUND; 50 MG/ML SOL INJ CT 5 AMP VD INC X 2 ML; CL9
1427700360010; MEGADOL; MEGADOL; NOT FOUND; 50 MG/ML SOL INJ CT 1 AMP VD INC X 1 ML; CL9
1427700360071; MEGADOL; MEGADOL; NOT FOUND; 50 MG/ML SOL INJ CT 50 AMP VD INC X 1 ML; CL9
1427700360037; MEGADOL; MEGADOL; NOT FOUND; 50 MG/ML SOL INJ CT 6 AMP VD INC X 1 ML; CL9
1427700360029; MEGADOL; MEGADOL; NOT FOUND; 50 MG/ML SOL INJ CT 5 AMP VD INC X 1 ML; CL9
