73290, FENATEC , FENATEC, NOT FOUND, GOTAS 5 MG 20 ML x 1 (/ML), BLF
49750, FLAGIMAX , FLAGIMAX, NOT FOUND, CPR 250 MG x 20, BLF
59505, FLAGIMAX , FLAGIMAX, NOT FOUND, CPR 400 MG x 24, BLF
59506, FLAGIMAX , FLAGIMAX, NOT FOUND, GEL VAG+10AP 50 G x 1, BLF
59507, FLAGIMAX , FLAGIMAX, NOT FOUND, SUSP 100 ML x 1, BLF
58712, FLATICONA , FLATICONA, NOT FOUND, CPR 40 MG x 20, BLF
56711, FLATICONA , FLATICONA, NOT FOUND, GOTAS 10 ML x 1, BLF
67063, FLATICONA , FLATICONA, NOT FOUND, GOTAS 20 ML x 1, BLF
64320, FLUCOL , FLUCOL, NOT FOUND, CAPS 150 MG x 1, BLF
64321, FLUCOL , FLUCOL, NOT FOUND, CAPS 150 MG x 2, BLF
34019, FLUIDELAN , FLUIDELAN, NOT FOUND, XAR. 100 ML x 1, BLF
47766, FUROMIDA , FUROMIDA, NOT FOUND, CPR 40 MG x 20, BLF
