70090, SALVIT M , SALVIT M, NOT FOUND, XAROPE 100 ML x 1, BLF
58679, SARNERICO , SARNERICO, NOT FOUND, SABAO 10 % 60 G x 1, BLF
58680, SARNERICO , SARNERICO, NOT FOUND, SUSP 20 % 100 ML x 1, BLF
84725, SULFAMET+TRIMET.MG , SULFAMET TRIMET, NOT FOUND, CPR 400 MG x 20 (/80), BLF
85459, SULFAMET+TRIMET.MG , SULFAMET TRIMET, NOT FOUND, CPR 800 MG x 10 (/160), BLF
156818, SULFERBEL , SULFERBEL, NOT FOUND, CPR REV 40 MG x 1000, BLF
161209, SULFERBEL , SULFERBEL, NOT FOUND, CPR REVEST 250 MG x 50, BLF
161208, SULFERBEL , SULFERBEL, NOT FOUND, CPR REVEST 40 MG x 50, BLF
32732, SULFERBEL , SULFERBEL, NOT FOUND, DRAG x 50, BLF
47841, SULFERBEL , SULFERBEL, NOT FOUND, GOTAS 30 ML x 1, BLF
32731, SULFERBEL , SULFERBEL, NOT FOUND, XAROPE 100 ML x 1, BLF
