69806, CALCIOFAR , CALCIOFAR, NOT FOUND, LIQD C B12 250 ML x 1, BLF
64305, CALSOL , CALSOL, NOT FOUND, LOC. 100 ML x 1, BLF
64304, CALSOL , CALSOL, NOT FOUND, POM. 20 G x 1, BLF
64306, CAPTOMIDO , CAPTOMIDO, NOT FOUND, CPR 12.5 MG x 30, BLF
64307, CAPTOMIDO , CAPTOMIDO, NOT FOUND, CPR 25 MG x 30, BLF
64308, CAPTOMIDO , CAPTOMIDO, NOT FOUND, CPR 50 MG x 30, BLF
70287, CASTANHA DA INDIA , CASTANHA INDIA, NOT FOUND, CPR x 60, BLF
64309, CINARITE , CINARITE, NOT FOUND, CPR 25 MG x 30, BLF
64310, CINARITE , CINARITE, NOT FOUND, CPR 75 MG x 30, BLF
69809, CLIOTISONA , CLIOTISONA, NOT FOUND, CREME 20 G x 1, BLF
56741, COLPADAK , COLPADAK, NOT FOUND, CREME 28 G x 1, BLF
56742, COLPADAK , COLPADAK, NOT FOUND, CREME 80 G x 1, BLF
64312, COLPADAK , COLPADAK, NOT FOUND, LOC. 30 ML x 1, BLF
64313, COLPADAK , COLPADAK, NOT FOUND, PO 30 G x 1, BLF
