76346; BACINA ; BACINA; NOT FOUND; POM. 10 G x 1; BLF
56040; BACINA ; BACINA; NOT FOUND; POM. 15 G x 1; BLF
43649; BELCOMPLEX ; BELCOMPLEX; NOT FOUND; DRAG x 50; BLF
58697; BELCOMPLEX ; BELCOMPLEX; NOT FOUND; GOTAS 30 ML x 1; BLF
32699; BELCOMPLEX ; BELCOMPLEX; NOT FOUND; LIQD 100 ML x 1; BLF
58676; BELFACTRIN ; BELFACTRIN; NOT FOUND; CPR 400 MG x 20 (/80); BLF
58677; BELFACTRIN ; BELFACTRIN; NOT FOUND; SUSP PED 480 MG 90 ML x 1 (/5ML); BLF
64295; BELFACTRIN F ; BELFACTRIN F; NOT FOUND; CPR 800 MG x 10 (/160); BLF
64296; BELFACTRIN F ; BELFACTRIN F; NOT FOUND; SUSP 400 MG 90 ML x 1 (/80); BLF
63804; BELFAREN ; BELFAREN; NOT FOUND; DRAG 50 MG x 20; BLF
63805; BELFAREN ; BELFAREN; NOT FOUND; GEL. 10 MG 60 G x 1 (/G); BLF
68822; BELGLOS ; BELGLOS; NOT FOUND; POM. 45 G x 1; BLF
32158; BELMIRAX ; BELMIRAX; NOT FOUND; CPR 100 MG x 6; BLF
32691; BELMIRAX ; BELMIRAX; NOT FOUND; SUSP 100 MG 30 ML x 1 (/5ML); BLF
70266; BELPIDEX ; BELPIDEX; NOT FOUND; CPR x 20; BLF
64297; BELSCOPAN ; BELSCOPAN; NOT FOUND; DRAG 10 MG x 20; BLF
64298; BELSPAN COMPOSTO ; BELSPAN COMPOSTO; NOT FOUND; DRAG x 20; BLF
64299; BELSPAN COMPOSTO ; BELSPAN COMPOSTO; NOT FOUND; GOTAS 20 ML x 1; BLF
64301; BESODIN ; BESODIN; NOT FOUND; DRAG x 20; BLF
64302; BESODIN ; BESODIN; NOT FOUND; DRAG x 200; BLF
56553; BETACORTAZOL ; BETACORTAZOL; NOT FOUND; CREME 30 G x 1; BLF
79071; BOLDO ; BOLDO; NOT FOUND; FLACONETES 10 ML x 12; BLF
80920; BOLDO ; BOLDO; NOT FOUND; FLACONETES 10 ML x 60; BLF
44303; BOLDO ; BOLDO; NOT FOUND; LIQD 100 ML x 1; BLF
