542614030001704; ALDIJET; ALDIJET; NOT FOUND; 150 MG/ML + 10 MG/ML SOL INJ IM CT AMP VD AMB X 1 ML ; SP0
542614040001804; ATEROMA; ATEROMA; NOT FOUND; 10 MG COM REV CT BL AL/AL X 30; SP0
542614040001904; ATEROMA; ATEROMA; NOT FOUND; 20 MG COM REV CT BL AL/AL X 30; SP0
542614040002004; ATEROMA; ATEROMA; NOT FOUND; 40 MG COM REV CT BL AL/AL X 30; SP0
542614030001404; ASEA HCT; ASEA HCT; NOT FOUND; 20 MG + 12.5 MG COM REV CT BL AL/AL X 30; SP0
542614030001504; ASEA HCT; ASEA HCT; NOT FOUND; 40 MG + 12.5 MG COM REV CT BL AL/AL X 30; SP0
542614030001604; ASEA HCT; ASEA HCT; NOT FOUND; 40 MG + 25 MG COM REV CT BL AL/AL X 30; SP0
542614020000304; AVAL; AVAL; NOT FOUND; 160 MG COM REV CT BL AL PLAS AL AL X 30; SP0
542614020000404; AVAL; AVAL; NOT FOUND; 160 MG COM REV CT BL AL PLAS AL AL X 60; SP0
542614020000504; AVAL; AVAL; NOT FOUND; 160 MG COM REV CT BL AL PLAS AL AL X 90; SP0
542614020000604; AVAL; AVAL; NOT FOUND; 320 MG COM REV CT BL AL PLAS AL AL X 30; SP0
542614020000204; AVAL; AVAL; NOT FOUND; 80 MG COM REV CT BL AL PLAS AL AL X 30; SP0
