537500703151411; TEVACARBO; TEVACARBO; NOT FOUND; 10 MG/ML SOL INJ CT FA VD AMB X 15 ML (EMB HOSP); TEV
537500701157412; TEVACARBO; TEVACARBO; NOT FOUND; 10 MG/ML SOL INJ CT FA VD AMB X 45 ML (EMB HOSP); TEV
537500702153410; TEVACARBO; TEVACARBO; NOT FOUND; 10 MG/ML SOL INJ CT FA VD AMB X 5 ML (EMB HOSP); TEV
537501201158418; TEVAIRINOT; TEVAIRINOT; NOT FOUND; 20 MG/ML SOL INJ IV CT FA VD AMB X 2 ML; TEV
537501202154416; TEVAIRINOT; TEVAIRINOT; NOT FOUND; 20 MG/ML SOL INJ IV CT FA VD AMB X 5 ML; TEV
537500501158415; TEVAETOPO; TEVAETOPO; NOT FOUND; 20 MG/ ML SOL INJ CT 10 FA VD INC X 5 ML; TEV
537501301152411; TEVAGRASTIM; TEVAGRASTIM; NOT FOUND; 300 MCG SOL INJ CT 5 SER PREENC VD INC X 0.5 ML; TEV
537501302159411; TEVAGRASTIM; TEVAGRASTIM; NOT FOUND; 300 MCG SOL INJ CT 5 SER PREENC VD INC X 0.5 ML + DISPOSITIVO DE SEGURANCA; TEV
537501303155418; TEVAGRASTIM; TEVAGRASTIM; NOT FOUND; 300 MCG SOL INJ CT 1 SER PREENC VD INC X 0.5 ML + DISPOSITIVO DE SEGURANCA 04; TEV
537501304151416; TEVAGRASTIM; TEVAGRASTIM; NOT FOUND; 300 MCG SOL INJ CT 10 SER PREENC VD INC X 0.5 ML + DISPOSITIVO DE SEGURANCA 06; TEV
537500903159416; TEVAFOLIN; TEVAFOLIN; NOT FOUND; 10 MG/ML SOL INJ CT FA VD INC X 10ML; TEV
537500904155414; TEVAFOLIN; TEVAFOLIN; NOT FOUND; 10 MG/ML SOL INJ CT FA VD INC X 20ML; TEV
537500901156411; TEVAFOLIN; TEVAFOLIN; NOT FOUND; 10 MG/ML SOL INJ CT 1 FA VD INC X 30ML  ; TEV
537500905151412; TEVAFOLIN; TEVAFOLIN; NOT FOUND; 10 MG/ML SOL INJ CT 1 FA VD INC X 35 ML; TEV
537500902152418; TEVAFOLIN; TEVAFOLIN; NOT FOUND; 10 MG/ML SOL INJ CT 1 FA VD INC X 5ML ; TEV
537500906158410; TEVAFOLIN; TEVAFOLIN; NOT FOUND; 10 MG/ML SOL INJ CT FA VD INC X 50ML; TEV
537501101153414; TEVAMESNA; TEVAMESNA; NOT FOUND; 100 MG/ML SOL INJ CT 5 AMP VD AMBAR X 4ML; TEV
537500204153419; TEVAMETHO; TEVAMETHO; NOT FOUND; 100 MG/ML SOL INJ CT FA VD INC X 10 ML ; TEV
537500203157410; TEVAMETHO; TEVAMETHO; NOT FOUND; 100 MG/ML SOL INJ CT FA VD INC X 50 ML; TEV
537500201154414; TEVAMETHO; TEVAMETHO; NOT FOUND; 25 MG/ML SOL INJ CT FA VD INC X 2 ML; TEV
537500202150412; TEVAMETHO; TEVAMETHO; NOT FOUND; 25 MG/ML SOL INJ CT FA VD INC X 20 ML; TEV
537501001159410; TEVAOXALI; TEVAOXALI; NOT FOUND; 100MG PO LIOF INJ CT FA VD INC; TEV
537501002155419; TEVAOXALI; TEVAOXALI; NOT FOUND; 5 MG/ML SOL INJ CT FA VD INC X 10 ML; TEV
537501003151417; TEVAOXALI; TEVAOXALI; NOT FOUND; 5 MG/ML SOL INJ CT FA VD INC X 20 ML; TEV
537501004158415; TEVAOXALI; TEVAOXALI; NOT FOUND; 5 MG/ML SOL INJ CT FA VD INC X 28 ML; TEV
537501005154413; TEVAOXALI; TEVAOXALI; NOT FOUND; 5 MG/ML SOL INJ CT FA VD INC X 40 ML; TEV
537500301159418; TEVAPACLI; TEVAPACLI; NOT FOUND; 6 MG/ML SOL INJ CT FA VD TRANS X 16.7 ML; TEV
537500303151414; TEVAPACLI; TEVAPACLI; NOT FOUND; 6 MG/ML SOL INJ CT FA VD TRANS X 25 ML; TEV
537500302155416; TEVAPACLI; TEVAPACLI; NOT FOUND; 6 MG/ML SOL INJ CT FA VD TRANS X 5 ML; TEV
537500304158412; TEVAPACLI; TEVAPACLI; NOT FOUND; 6 MG/ML SOL INJ CT FA VD TRANS X 50 ML; TEV
537514040004804; TACTROL; TACTROL; NOT FOUND; 100 MG PO LIOF INJ CT FA VD INC X 4 ML; TEV
537514040004904; TACTROL; TACTROL; NOT FOUND; 500 MG PO LIOF INJ CT FA VD INC X 20 ML; TEV
537500601152419; TEVABLEO; TEVABLEO; NOT FOUND; 15 U PO LIOF INJ CT 1 FA VD INC; TEV
537500402151412; TEVAVINOR; TEVAVINOR; NOT FOUND; 10 MG/ML SOL INJ CT FA VD INC X 1 ML; TEV
537500401153411; TEVAVINOR; TEVAVINOR; NOT FOUND; 10 MG/ML SOL INJ CT FA VD INC X 5 ML; TEV
537501402153413; TEVAMICINA; TEVAMICINA; NOT FOUND; 200 MG PO LIOF INJ CT FA VD INC + 1 AMP DIL X 3 ML; TEV
537501401157415; TEVAMICINA; TEVAMICINA; NOT FOUND; 400 MG PO LIOF INJ CT FA VD INC + 1 AMP DIL X 3 ML; TEV
537514010004704; TOBRAZOL; TOBRAZOL; NOT FOUND; 300 MG/5ML SOL INAL CT 14 ENV AL X 4 AMP PLAS TRANS X 5 ML; TEV
