526131401111111, FENOFIBRATO, FENOFIBRATO, FENOFIBRATO, 200MG CAP GEL DURA CT BL AL PLAS OPC X 30, GM2
526105303114115, FINASTERIDA, FINASTERIDA, FINASTERIDA, 1MG 2BLT C/15COMP, GM2
526105302118117, FINASTERIDA, FINASTERIDA, FINASTERIDA, 5MG 2 BL X 15 COMP REV, GM2
526105401116414, FINASTIL, FINASTIL, NOT FOUND, 5MG 2 BL X 15 COMP, GM2
526105505116410, FLATOL, FLATOL, NOT FOUND, 125 MG CAP GEL MOLE CT BL AL PLAS INC X 10, GM2
526105501110418, FLATOL, FLATOL, NOT FOUND, 40 MG COM CT BL AL PLAS INC X 20, GM2
526105506139414, FLATOL, FLATOL, NOT FOUND, 75 MG / ML EMU OR FR PLAS OPC GOT X 15 ML, GM2
526105502133411, FLATOL, FLATOL, NOT FOUND, 75 MG/ML EMU OR FR PLAS OPC GOT X 10 ML, GM2
526105602111118, FLUCONAZOL, FLUCONAZOL, FLUCONAZOL, 150 MG CAP GEL DURA CT BL AL PLAS INC X 2, GM2
526105601115111, FLUCONAZOL, FLUCONAZOL, FLUCONAZOL, 150MG 1 BL X 1 CAPS-GD, GM2
526118203164112, FOSFATO DE CLINDAMICINA, FOSFATO CLINDAMICINA, FOSFATO CLINDAMICINA, 10 MG/G GEL CT BG AL X 45 G, GM2
526118201153113, FOSFATO DE CLINDAMICINA, FOSFATO CLINDAMICINA, FOSFATO CLINDAMICINA, 150MG/ML INL 100 AMP C/ 4 ML, GM2
526118202168114, FOSFATO DE CLINDAMICINA, FOSFATO CLINDAMICINA, FOSFATO CLINDAMICINA, 20 MG/G CREM VAG CT BG AL X 20 G + 3 APLIC, GM2
526105701111310, FOSFOCAPS, FOSFOCAPS, NOT FOUND, 5 STP X 4 CAPS, GM2
526132501118416, FOSLAMER, FOSLAMER, NOT FOUND, 800 MG COM REV FR PLAS OPC X 180, GM2
526113002136110, FUMARATO DE CETOTIFENO, FUMARATO CETOTIFENO, FUMARATO CETOTIFENO, 0.2 MG/ML XPE CT FR VD AMB X 120 ML + CP DOS, GM2
526124501163119, FUROATO DE MOMETASONA, FUROATO MOMETASONA, FUROATO MOMETASONA, 1 MG/G CREM DERM CT BG AL X 20 G, GM2
526124502161111, FUROATO DE MOMETASONA, FUROATO MOMETASONA, FUROATO MOMETASONA, 1 MG/G POM DERM CT BG AL X 20 G, GM2
526131401111111, FENOFIBRATO, FENOFIBRATO, FENOFIBRATO, 200MG CAP GEL DURA CT BL AL PLAS OPC X 30, GM2
526105303114115, FINASTERIDA, FINASTERIDA, FINASTERIDA, 1MG 2BLT C/15COMP, GM2
526105302118117, FINASTERIDA, FINASTERIDA, FINASTERIDA, 5MG 2 BL X 15 COMP REV, GM2
526105401116414, FINASTIL, FINASTIL, NOT FOUND, 5MG 2 BL X 15 COMP, GM2
526105505116410, FLATOL, FLATOL, NOT FOUND, 125 MG CAP GEL MOLE CT BL AL PLAS INC X 10, GM2
526105501110418, FLATOL, FLATOL, NOT FOUND, 40 MG COM CT BL AL PLAS INC X 20, GM2
526105506139414, FLATOL, FLATOL, NOT FOUND, 75 MG / ML EMU OR FR PLAS OPC GOT X 15 ML, GM2
526105502133411, FLATOL, FLATOL, NOT FOUND, 75 MG/ML EMU OR FR PLAS OPC GOT X 10 ML, GM2
