526100102137419, A SAÚDE DA MULHER, A SAUDE MULHER, NOT FOUND, 150ML SOL, GM2
526119401131111, ACEBROFILINA, ACEBROFILINA, ACEBROFILINA, 10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, GM2
526119402136117, ACEBROFILINA, ACEBROFILINA, ACEBROFILINA, 25MG/5ML XPE C/ 120ML, GM2
526127601169113, ACECLOFENACO, ACECLOFENACO, ACECLOFENACO, 15 MG / G CREME DERM CT BG AL X 30 G, GM2
526129201168116, ACETATO DE DEXAMETASONA, ACETATO DEXAMETASONA, ACETATO DEXAMETASONA, 1 MG/G CREM DERM CT BG AL X 10 G, GM2
526113204170115, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 100 MG GRAN 16 ENV X 5 G, GM2
526113207110113, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 100 MG GRAN CT 10 ENV AL POLIET X 5 G (EMB FRAC), GM2
526113205134112, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 20 MG/ML XPE INF 120 ML, GM2
526113208117111, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 200 MG GRAN CT 10 ENV AL POLIET X 5 G (EMB FRAC), GM2
526113202135118, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 200 MG GRAN CT 16 ENV AL POLIEST X 5 G, GM2
526113201139111, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 20MG/ML XPE CT FR VD AMB X 100ML + CP MED, GM2
526113206130110, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 40 MG/ML XPE AD 120 ML, GM2
526113209113111, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 600 MG GRAN CT 10 ENV AL POLIET X 5 G (EMB FRAC), GM2
526119801162111, ACETONIDA DE TRIANCINOLONA + SULFATO DE NEOMICINA + GRAMICIDINA + NISTATINA, ACETONIDA TRIANCINOLONA SULFATO NEOMICINA GRAMICIDINA NISTATINA, NOT FOUND, 1 MG/G + 2.5 MG/G + 0.25 MG/G + 100.000 UI/G CREM DERM BG AL X 30 G, GM2
526119802169111, ACETONIDA DE TRIANCINOLONA + SULFATO DE NEOMICINA + GRAMICIDINA + NISTATINA, ACETONIDA TRIANCINOLONA SULFATO NEOMICINA GRAMICIDINA NISTATINA, NOT FOUND, 1 MG/G + 2.5 MG/G + 0.25 MG/G + 100.000 UI/G POM DERM BG AL X 30 G, GM2
526118001162119, ACETONIDA TRIANCINOLONA, ACETONIDA TRIANCINOLONA, NOT FOUND, POM 1MG BIS C/ 10G., GM2
526123701169112, ACICLOVIR, ACICLOVIR, ACICLOVIR, 50 MG/G CREM DERM CT BG AL X 10 G, GM2
526128701116117, ÁCIDO MEFENÂMICO, ACIDO MEFENAMICO, ACIDO MEFENAMICO, 500 MG COM CT BL AL PLAS OPC X 24, GM2
526119901167115, ADAPALENO, ADAPALENO, ADAPALENO, 1 MG/G CREM DERM CT BG AL X 30 G, GM2
526119902163113, ADAPALENO, ADAPALENO, ADAPALENO, 1 MG/G GEL CT BG AL X 30 G, GM2
526100201119311, AFBM, AFBM, NOT FOUND, 3 BL X 10 CAPS. GEL., GM2
526118302111114, ALBENDAZOL, ALBENDAZOL, ALBENDAZOL, 200 MG COM MAST CT BL AL PLAS LEIT X 2, GM2
