1038500680020; METROZOL; METROZOL; NOT FOUND; FR C/80 ML SUS; ELO
1038500850014; METROZOL; METROZOL; NOT FOUND; BG C/50G+APL GEL VAG; ELO
1038500680011; METROZOL; METROZOL; NOT FOUND; CX C/5X4 COM; ELO
1038500830048; MICORAL; MICORAL; NOT FOUND; FR C/ 100 ML SHAMPOO; ELO
1038500830031; MICORAL; MICORAL; NOT FOUND; 20 MG/G CREM DERM CT BG PLAS OPC X 30 G; ELO
1038500830013; MICORAL; MICORAL; NOT FOUND; 200 MG COM CT ENV AL POLIET X 10; ELO
1038500830021; MICORAL; MICORAL; NOT FOUND; 200 MG COM CT 3 ENV AL POLIET X 10; ELO
1038500670016; METOCLOPRAMIDA; METOCLOPRAMIDA; METOCLOPRAMIDA; FR C/ 10 ML; ELO
1038500360039; METILSEDOR; METILSEDOR; NOT FOUND; FR C/ 10 ML GOTAS; ELO
1038500360047; METILSEDOR; METILSEDOR; NOT FOUND; CX C/ 50ENV X4 COM; ELO
1038500600026; METICONE; METICONE; NOT FOUND; FR C/10 ML GOTAS; ELO
1038500600018; METICONE; METICONE; NOT FOUND; CX C/5 X4 COM; ELO
1038500390026; MOBEN; MOBEN; NOT FOUND; FR C/30 ML SUS; ELO
1038500390018; MOBEN; MOBEN; NOT FOUND; CX C/1 X 6 COM; ELO
1038500340088; METIANOL; METIANOL; NOT FOUND; FR C/ 100 ML LIQUIDO; ELO
1038500340029; METIANOL; METIANOL; NOT FOUND; CX C/ 20 DRAGEAS; ELO
1038500590012; MICOSTAL; MICOSTAL; NOT FOUND; FR C/ 50 ML ORAL; ELO
1038500590039; MICOSTAL; MICOSTAL; NOT FOUND; 25.000 UI G/G CREME VAG CT BG X 40 G + APLIC; ELO
1038500370012; MICOFIM; MICOFIM; NOT FOUND; 20 MG/G CREM DERM CT BG AL X 28 G; ELO
1038500380012; MICOGYN; MICOGYN; NOT FOUND; 20 MG/G CREM VAG CT BG AL X 80 G + APLIC; ELO
1038500380026; MICOGYN; MICOGYN; NOT FOUND; 20 MG/G CREM VAG CT BG AL X 80 G + 14 APLIC; ELO
