1038500860011; FARMOXIL; FARMOXIL; NOT FOUND; FR C/150ML 250MG/5ML; ELO
1038500860028; FARMOXIL; FARMOXIL; NOT FOUND; FR C/150ML 500MG/5ML; ELO
1038500860044; FARMOXIL; FARMOXIL; NOT FOUND; CX C/3ENV X6 CAPS 500MG; ELO
1038500860036; FARMOXIL; FARMOXIL; NOT FOUND; CX C/5ENV X6 CAPS 500MG; ELO
1038501010011; FEMURID; FEMURID; NOT FOUND; 500 MG + 210 UI COM REV CT FR PLAS OPC X 60; ELO
1038501010028; FEMURID; FEMURID; NOT FOUND; 500 MG + 210 UI COM REV CX 10 FR PLAS OPC X 60 (EMB HOSP); ELO
1038501010036; FEMURID; FEMURID; NOT FOUND; 500 MG + 210 UI COM REV CX 25 FR PLAS OPC X 60 (EMB HOSP); ELO
1038501010044; FEMURID; FEMURID; NOT FOUND; 500 MG + 210 UI COM REV CX 50 FR PLAS OPC X 60 (EMB HOSP); ELO
1038500690017; FUROMIX; FUROMIX; NOT FOUND; 40MG CX C/ 20 COM; ELO
1038500240024; FORVERM; FORVERM; NOT FOUND; FR C/ 30 ML SUS; ELO
1038500240030; FORVERM; FORVERM; NOT FOUND; CX C/ 12 COM; ELO
