500511801116215, FACTIVE, FACTIVE, NOT FOUND, 320 MG COM REV CT BL AL PLAS INC X 5, A4H
500511802112213, FACTIVE, FACTIVE, NOT FOUND, 320 MG COM REV CT BL AL PLAS INC X 7, A4H
500503401112416, FAMOX, FAMOX, NOT FOUND, 20MG COM CT BL AL PLAS INC X 10, A4H
500503402119414, FAMOX, FAMOX, NOT FOUND, 40MG COM CT BL AL PLAS INC X 10, A4H
500503502113418, FEMINA, FEMINA, NOT FOUND, 150 MCG + 20 MCG COM REV CT BL AL PLAS INC X 21, A4H
500503601111413, FEMME, FEMME, NOT FOUND, COM REV CT FR PLAS OPC X 30, A4H
500512202119411, FEMME CÁLCIO D 400, FEMME CALCIO D 400, NOT FOUND, 500 MG + 200 UI COM REV CT FR PLAS OPC X 10, A4H
500512203115418, FEMME CÁLCIO D 400, FEMME CALCIO D 400, NOT FOUND, 500 MG + 200 UI COM REV CT FR PLAS OPC X 30, A4H
500512204111416, FEMME CÁLCIO D 400, FEMME CALCIO D 400, NOT FOUND, 500 MG + 200 UI COM REV CT FR PLAS OPC X 60, A4H
500512205118414, FEMME CÁLCIO D 400, FEMME CALCIO D 400, NOT FOUND, 500 MG + 400 UI COM REV CT FR PLAS OPC X 10, A4H
500512206114412, FEMME CÁLCIO D 400, FEMME CALCIO D 400, NOT FOUND, 500 MG + 400 UI COM REV CT FR PLAS OPC X 30, A4H
500512201112411, FEMME CÁLCIO D 400, FEMME CALCIO D 400, NOT FOUND, 500 MG + 400 UI COM REV CT FR PLAS OPC X 60, A4H
500503701116417, FEMME COM FLÚOR, FEMME FLUOR, NOT FOUND, COM REV CT FR PLAS OPC X 30, A4H
500509103164311, FENTIZOL, FENTIZOL, NOT FOUND, 0.02 G/G CREM DERM CT BG AL 30 G, A4H
500509101110311, FENTIZOL, FENTIZOL, NOT FOUND, 600 MG OVL CT BL AL PLAS INC X 1 + 1 APLIC + 2 DEDEIRAS, A4H
500509102168311, FENTIZOL, FENTIZOL, NOT FOUND, CREM VAG BG X 40G + 7 APLIC, A4H
500503801110410, FLAGASS, FLAGASS, NOT FOUND, 40MG COM CT BL AL PLAS INC X 20, A4H
500503802133414, FLAGASS, FLAGASS, NOT FOUND, 75MG/ML EMU OR CT FR PLAS OPC GOT X 10ML, A4H
