500507801158416; DECADRONAL; DECADRONAL; NOT FOUND; 8MG/ML SUS INJ CT FA INC X 2 ML; A4H
500508002151419; DUO-DECADRON; DUO DECADRON; NOT FOUND; 8 MG/ML + 2 MG/ML SUS INJ CT FA VD INC X 1 ML + SER DOS  ; A4H
500508001155410; DUO-DECADRON; DUO DECADRON; NOT FOUND; 8 MG/ML + 2 MG/ML SUS INJ CT FA VD INC X 2 ML + SER DOS ; A4H
500502402115410; DECONGEX PLUS; DECONGEX PLUS; NOT FOUND; 12 MG + 15 MG COM REV LIB PROG CT BL AL PLAS INC X 12; A4H
500502401135418; DECONGEX PLUS; DECONGEX PLUS; NOT FOUND; 0.4 MG + 1 MG / ML XPE CT FR VD AMB X 120 ML + CP MED X 10 ML; A4H
500502405114415; DECONGEX PLUS; DECONGEX PLUS; NOT FOUND; 12 MG + 15 MG COM REV LIB PROG DISPLAY CT BL AL PLAS INC X 100 (EMB MULT); A4H
500502403138414; DECONGEX PLUS; DECONGEX PLUS; NOT FOUND; 2 MG + 2.5 MG SOL OR CT FR PLAS OPC GOT X 20 ML; A4H
500503002110411; DORILAX; DORILAX; NOT FOUND; 350 MG + 150 MG + 50 MG COM BL AL PLAS INC X 100 (EMB MULT); A4H
500503001114411; DORILAX; DORILAX; NOT FOUND; 350 MG + 150 MG + 50 MG COM CT BL AL PLAS INC X 12 ; A4H
500502301114427; DAYVIT; DAYVIT; NOT FOUND; COM REV CT FR PLAS OPC X 30; A4H
500513090052903; DONILA; DONILA; NOT FOUND; 10 MG COM REV CT BL AL PLAS TRANS X 15; A4H
500513020047804; DONILA; DONILA; NOT FOUND; 10 MG COM REV CT BL AL PLAS TRANS X 30; A4H
500513020047704; DONILA; DONILA; NOT FOUND; 5MG COM REV CT BL AL PLAS TRANS X 30; A4H
500513090052803; DONILA; DONILA; NOT FOUND; 5 MG COM REV CT BL AL PLAS TRANS X 7; A4H
500515020058805; DONILA DUO; DONILA DUO; NOT FOUND; 10MG+5MG COM REV CT BL AL PLAS TRANS X 7 ; A4H
500515020058905; DONILA DUO; DONILA DUO; NOT FOUND; 10MG+20MG COM REV CT BL AL PLAS TRANS X 30; A4H
500515020059005; DONILA DUO; DONILA DUO; NOT FOUND; 10MG+5MG COM REV CT BL AL PLAS TRANS X 30; A4H
500515020059105; DONILA DUO; DONILA DUO; NOT FOUND; 10MG+10MG COM REV CT BL AL PLAS TRANS X 7 ; A4H
500515020059205; DONILA DUO; DONILA DUO; NOT FOUND; 10MG+10MG COM REV CT BL AL PLAS TRANS X 30; A4H
