500509405136416, PRELONE, PRELONE, NOT FOUND, 11 MG/ML CT FR PLAS OPC GOT X 10 ML, A4H
500509406132414, PRELONE, PRELONE, NOT FOUND, 11 MG/ML CT FR PLAS OPC GOT X 20 ML, A4H
500509402110416, PRELONE, PRELONE, NOT FOUND, 20 MG COM CT BL AL/AL X 10, A4H
500509401130413, PRELONE, PRELONE, NOT FOUND, 3 MG/ML SOL OR CT FR PET AMB X 120 ML + PIPETA DOSADORA, A4H
500509403133411, PRELONE, PRELONE, NOT FOUND, 3 MG/ML SOL OR CT FR PET AMB X 60 ML + PIPETA DOSADORA, A4H
500509408135313, PRELONE, PRELONE, NOT FOUND, 3 MG/ML SOL OR CT FR PET AMB X 30 ML + PIPETA DOSADORA, A4H
500509407112311, PRELONE, PRELONE, NOT FOUND, 5 MG COM CT BL AL/AL X 10, A4H
500509404113412, PRELONE, PRELONE, NOT FOUND, 5 MG COM CT BL AL/AL X 20, A4H
500506302131417, PARASIN, PARASIN, NOT FOUND, 40 MG/ML SUS OR CT FR VD AMB X 10 ML, A4H
500506301119413, PARASIN, PARASIN, NOT FOUND, 400 MG COM MAST CT BL AL PLAS INC X 1, A4H
500506401113417, POSTINOR-2, POSTINOR 2, NOT FOUND, 0.75 MG COM CT BL AL PLAS INC X 2, A4H
500510901117312, POSTINOR UNO, POSTINOR UNO, NOT FOUND, 1.5 MG COM CT BL AL PLAS INC X 1, A4H
500513040048306, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL/AL X 14, A4H
500513040048406, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL/AL X 28, A4H
500513040048506, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL/AL X 42, A4H
500513040048606, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 14, A4H
500513040048706, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 28, A4H
500513040048806, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL/AL X 42, A4H
500514010053806, PREDNISOLONA, PREDNISOLONA, PREDNISOLONA, 20 MG COM CT BL AL/AL X 10, A4H
500514010053706, PREDNISOLONA, PREDNISOLONA, PREDNISOLONA, 5 MG COM CT BL AL/AL X 20, A4H
500514020055006, PREGABALINA, PREGABALINA, PREGABALINA, 75 MG CAP GEL DURA CT BL AL PLAS TRANS X 30, A4H
500508601160415, PARAQUEIMOL, PARAQUEIMOL, NOT FOUND, 74 MG/G + 21.67 MG/G POM DERM CT BG AL X 50 G, A4H
