500500101118422, ACCUVIT, ACCUVIT, NOT FOUND, COMP REV CT FR PLAS OPC X 30, A4H
500500102114412, ACCUVIT, ACCUVIT, NOT FOUND, COM REV CT BL ALU ALU X 30, A4H
500513502116112, ACICLOVIR, ACICLOVIR, ACICLOVIR, 200 MG COM CT BL AL PLAS INC X 25 , A4H
500513501160118, ACICLOVIR, ACICLOVIR, ACICLOVIR, 50 MG/G CREM DERM CT BG AL X 10 G, A4H
500513090052206, ALENDRONATO DE SODIO, ALENDRONATO SODIO, ALENDRONATO SODIO TRI-HIDRATADO, 70 MG COM CT AL/AL X 4, A4H
500512030040806, ALPRAZOLAM, ALPRAZOLAM, ALPRAZOLAM, 0.5 MG COM CT BL AL PLAS INC X 30, A4H
500512010039906, ALPRAZOLAM, ALPRAZOLAM, ALPRAZOLAM, 1.0 MG COM CT BL AL PLAS INC X 30, A4H
500512010040006, ALPRAZOLAM, ALPRAZOLAM, ALPRAZOLAM, 2.0 MG COM CT BL AL PLAS INC X 30, A4H
500513001133111, AMOXICILINA TRIIDRATADA, AMOXICILINA TRIIDRATADA, NOT FOUND, 250 MG/5 ML PO SUSP EXTEMP OR CT FR VD AMB X 150 ML + SER DOS X 10 ML, A4H
500514101115113, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 15, A4H
500514102111111, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 21, A4H
500514103118111, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 30, A4H
500513002131112, AMOXICILINA TRIIDRATADA, AMOXICILINA TRIIDRATADA, NOT FOUND, 400MG/5ML PO PREP EXT SUS OR CT FR VD AMB X 100 ML + SER DOS X 10ML, A4H
500514104114118, AMOXICILINA, AMOXICILINA, AMOXICILINA, 875 MG COM CT BL AL PLAS TRANS X 14, A4H
500512050042204, ARISTAB, ARISTAB, NOT FOUND, 10 MG COM CT BL AL/AL X 10, A4H
500513060050106, ARIPIPRAZOL, ARIPIPRAZOL, ARIPIPRAZOL, 10MG COM CT BL AL/AL X 10, A4H
500512050042304, ARISTAB, ARISTAB, NOT FOUND, 10 MG COM CT BL AL/AL X 30, A4H
500512050042404, ARISTAB, ARISTAB, NOT FOUND, 15 MG COM CT BL AL/AL X 10, A4H
500513060050206, ARIPIPRAZOL, ARIPIPRAZOL, ARIPIPRAZOL, 15MG COM CT BL AL/AL X 10, A4H
500512050042504, ARISTAB, ARISTAB, NOT FOUND, 15 MG COM CT BL AL/AL X 30, A4H
500513060050306, ARIPIPRAZOL, ARIPIPRAZOL, ARIPIPRAZOL, 20MG COM CT BL AL/AL X 10, A4H
500512050042604, ARISTAB, ARISTAB, NOT FOUND, 20 MG COM CT BL AL/AL X 30, A4H
500513060050406, ARIPIPRAZOL, ARIPIPRAZOL, ARIPIPRAZOL, 30MG COM CT BL AL/AL X 10, A4H
500512050042704, ARISTAB, ARISTAB, NOT FOUND, 30 MG COM CT BL AL/AL X 30, A4H
500512801111114, ATORVASTATINA CÁLCICA, ATORVASTATINA CALCICA, ATORVASTATINA CALCICA, 10 MG COM REV CT BL AL/AL X 30, A4H
500512802116111, ATORVASTATINA CÁLCICA, ATORVASTATINA CALCICA, ATORVASTATINA CALCICA, 20 MG COM REV CT BL AL/AL X 30, A4H
500512803112118, ATORVASTATINA CÁLCICA, ATORVASTATINA CALCICA, ATORVASTATINA CALCICA, 40 MG COM REV CT BL AL/AL X 30, A4H
500512804119116, ATORVASTATINA CÁLCICA, ATORVASTATINA CALCICA, ATORVASTATINA CALCICA, 80 MG COM REV CT BL AL/AL X 30, A4H
500507701161415, ANDANTOL, ANDANTOL, NOT FOUND, 7.5 MG/G GELEIA CT BG AL X 40 G, A4H
500500505111411, ARTROLIVE, ARTROLIVE, NOT FOUND, 500 MG + 400 MG CAP GEL CT BL AL PLAS INC X 15, A4H
500500501116419, ARTROLIVE, ARTROLIVE, NOT FOUND, 500 MG + 400 MG CAP GEL CT FR PLAS OPC X 30  , A4H
500500504115413, ARTROLIVE, ARTROLIVE, NOT FOUND, 500 MG + 400 MG CAP GEL CT BL AL PLAS INC X 30, A4H
500500502112417, ARTROLIVE, ARTROLIVE, NOT FOUND, 500 MG + 400 MG CAP GEL CT FR PLAS OPC X 90, A4H
500500503119415, ARTROLIVE, ARTROLIVE, NOT FOUND, 500 MG + 400 MG CAP GEL CT BL AL PLAS INC X 90, A4H
500512501175311, ADINOS, ADINOS, NOT FOUND, 0.5MG/G GEL CREM CT BG AL X 15 G, A4H
