500506604138406; SOMALIUM; SOMALIUM; NOT FOUND; 2.5 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; A4H
500506601112414; SOMALIUM; SOMALIUM; NOT FOUND; 3 MG COM CT BL AL PLAS INC X 20; A4H
500506605118417; SOMALIUM; SOMALIUM; NOT FOUND; 3 MG COM CT 2 BL AL PLAS INC X 15; A4H
500506602119412; SOMALIUM; SOMALIUM; NOT FOUND; 6 MG COM CT BL AL PLAS INC X 20; A4H
500506606114415; SOMALIUM; SOMALIUM; NOT FOUND; 6 MG COM CT 2 BL AL PLAS INC X 15; A4H
500506702172315; SORINE INFANTIL; SORINE INFANTIL; NOT FOUND; 0.5 MG/ML SOL NAS CT FR PLAS TRANS GOT X 30 ML ; A4H
500514120058503; SORINE H; SORINE H; NOT FOUND; 30 MG/ML SOL NAS CT FR SPR PLAS OPC X 25 ML; A4H
500514120058603; SORINE H; SORINE H; NOT FOUND; 30 MG/ML SOL NAS CT FR SPR PLAS OPC X 50 ML; A4H
500511001179311; SORINE H; SORINE H; NOT FOUND; 30 MG/ML SOL NAS CT FR PET AMB SPR X 60 ML; A4H
500514040056603; STABIL; STABIL; NOT FOUND; 0.125 MG COM CT BL AL/AL X 90; A4H
500514040056703; STABIL; STABIL; NOT FOUND; 0.25 MG COM CT BL AL/AL X 90; A4H
500514040056803; STABIL; STABIL; NOT FOUND; 1 MG COM CT BL AL/AL X 90; A4H
500512070044004; STABIL; STABIL; NOT FOUND; 0.125 MG COM CT BL AL/AL X 30; A4H
500512070043904; STABIL; STABIL; NOT FOUND; 0.125 MG COM CT BL AL/AL X 07 ; A4H
500512070044204; STABIL; STABIL; NOT FOUND; 0.25 MG COM CT BL AL/AL X 30; A4H
500512070044104; STABIL; STABIL; NOT FOUND; 0.25 MG COM CT BL AL/AL X 07 ; A4H
500512070044404; STABIL; STABIL; NOT FOUND; 1 MG COM CT BL AL/AL X 30; A4H
500512070044304; STABIL; STABIL; NOT FOUND; 1 MG COM CT BL AL/AL X07 ; A4H
500515010058706; SIMETICONA; SIMETICONA; SIMETICONA; 125 MG CAP GEL MOLE CT BL AL PLAS INC X 10; A4H
