500507401117410, VERTIX, VERTIX, NOT FOUND, 10MG COM CT 2 BL AL PLAS INC X 25, A4H
500507403136404, VERTIX, VERTIX, NOT FOUND, 5MG/ML SOL OR CT FR PLAS TRANS GOT X 30ML, A4H
500507501111414, VERTIZINE, VERTIZINE, NOT FOUND, 10 MG + 3 MG COM CE BL AL PLAS INC X 20, A4H
500507601116418, VITA E, VITA E, NOT FOUND, 400MG CAP GEL MOLE CT FR PLAS OPC X 30, A4H
500507401117410, VERTIX, VERTIX, NOT FOUND, 10MG COM CT 2 BL AL PLAS INC X 25, A4H
500507403136404, VERTIX, VERTIX, NOT FOUND, 5MG/ML SOL OR CT FR PLAS TRANS GOT X 30ML, A4H
500507501111414, VERTIZINE, VERTIZINE, NOT FOUND, 10 MG + 3 MG COM CE BL AL PLAS INC X 20, A4H
500507404116318, VERTIX, VERTIX, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 20, A4H
500507401117410, VERTIX, VERTIX, NOT FOUND, 10MG COM CT 2 BL AL PLAS INC X 25, A4H
500507403136404, VERTIX, VERTIX, NOT FOUND, 5MG/ML SOL OR CT FR PLAS TRANS GOT X 30ML, A4H
500507501111414, VERTIZINE, VERTIZINE, NOT FOUND, 10 MG + 3 MG COM CE BL AL PLAS INC X 20, A4H
500507404116318, VERTIX, VERTIX, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 20, A4H
500507401117410, VERTIX, VERTIX, NOT FOUND, 10MG COM CT 2 BL AL PLAS INC X 25, A4H
500507403136404, VERTIX, VERTIX, NOT FOUND, 5MG/ML SOL OR CT FR PLAS TRANS GOT X 30ML, A4H
500507501111414, VERTIZINE, VERTIZINE, NOT FOUND, 10 MG + 3 MG COM CE BL AL PLAS INC X 20, A4H
500507404116318, VERTIX, VERTIX, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 20, A4H
500507401117410, VERTIX, VERTIX, NOT FOUND, 10MG COM CT 2 BL AL PLAS INC X 25, A4H
500507403136404, VERTIX, VERTIX, NOT FOUND, 5MG/ML SOL OR CT FR PLAS TRANS GOT X 30ML, A4H
500507501111414, VERTIZINE, VERTIZINE, NOT FOUND, 10 MG + 3 MG COM CE BL AL PLAS INC X 20, A4H
500507404116318, VERTIX, VERTIX, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 20, A4H
500507401117410, VERTIX, VERTIX, NOT FOUND, 10MG COM CT 2 BL AL PLAS INC X 25, A4H
500507403136404, VERTIX, VERTIX, NOT FOUND, 5MG/ML SOL OR CT FR PLAS TRANS GOT X 30ML, A4H
500507501111414, VERTIZINE, VERTIZINE, NOT FOUND, 10 MG + 3 MG COM CE BL AL PLAS INC X 20, A4H
500507404116318, VERTIX, VERTIX, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 20, A4H
500507401117410, VERTIX, VERTIX, NOT FOUND, 10MG COM CT 2 BL AL PLAS INC X 25, A4H
500507403136404, VERTIX, VERTIX, NOT FOUND, 5MG/ML SOL OR CT FR PLAS TRANS GOT X 30ML, A4H
500507501111414, VERTIZINE, VERTIZINE, NOT FOUND, 10 MG + 3 MG COM CE BL AL PLAS INC X 20, A4H
500507404116318, VERTIX, VERTIX, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 20, A4H
500507401117410, VERTIX, VERTIX, NOT FOUND, 10MG COM CT 2 BL AL PLAS INC X 25, A4H
500507403136404, VERTIX, VERTIX, NOT FOUND, 5MG/ML SOL OR CT FR PLAS TRANS GOT X 30ML, A4H
500507501111414, VERTIZINE, VERTIZINE, NOT FOUND, 10 MG + 3 MG COM CE BL AL PLAS INC X 20, A4H
500507404116318, VERTIX, VERTIX, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 20, A4H
500507401117410, VERTIX, VERTIX, NOT FOUND, 10MG COM CT 2 BL AL PLAS INC X 25, A4H
500507403136404, VERTIX, VERTIX, NOT FOUND, 5MG/ML SOL OR CT FR PLAS TRANS GOT X 30ML, A4H
500507501111414, VERTIZINE, VERTIZINE, NOT FOUND, 10 MG + 3 MG COM CE BL AL PLAS INC X 20, A4H
500514201160110, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1.0 MG/G + 10.0 MG/G + 10 MG/G CREM DERM CT BG AL X 20 G, A4H
500507404116318, VERTIX, VERTIX, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 20, A4H
500507401117410, VERTIX, VERTIX, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 50, A4H
500507403136404, VERTIX, VERTIX, NOT FOUND, 5MG/ML SOL OR CT FR PLAS TRANS GOT X 30ML, A4H
500507501111414, VERTIZINE, VERTIZINE, NOT FOUND, 10 MG + 3 MG COM CE BL AL PLAS INC X 20, A4H
500514201160110, VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL, VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL, NOT FOUND, 0.5 MG/G + 1.0 MG/G + 10.0 MG/G + 10 MG/G CREM DERM CT BG AL X 20 G, A4H
500507404116318, VERTIX, VERTIX, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 20, A4H
500507401117410, VERTIX, VERTIX, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 50, A4H
500507403136404, VERTIX, VERTIX, NOT FOUND, 5MG/ML SOL OR CT FR PLAS TRANS GOT X 30ML, A4H
500507501111414, VERTIZINE, VERTIZINE, NOT FOUND, 10 MG + 3 MG COM CT BL AL PLAS INC X 20, A4H
