500513120053303, LEDAR, LEDAR, NOT FOUND, 70 MG COM CT BL AL/AL X 4, A4H
500513070051206, LEVODOPA+CLORIDRATO DE BENSERAZIDA, LEVODOPA CLORIDRATO BENSERAZIDA, NOT FOUND, 200 MG + 50 MG COM CT FR VD AMB X 30, A4H
500508301132416, LABEL, LABEL, NOT FOUND, 15 MG/ML XPE CT FR VD AMB X 120 ML, A4H
500508302112419, LABEL, LABEL, NOT FOUND, 150 MG COM REV CT STR AL X 20, A4H
500513050048904, LABEL, LABEL, NOT FOUND, 40 MG/ML SOL OR FR VD AMB CGT X 30 ML , A4H
500513050049004, LABEL, LABEL, NOT FOUND, 40 MG/ML SOL OR FR VD AMB CGT X 45 ML , A4H
500513090052406, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS TRANS X 10, A4H
500513110053203, LIVEPAX, LIVEPAX, NOT FOUND, 500 MG COM REV CT BL AL PLAS TRANS X 10, A4H
500513110053003, LIVEPAX, LIVEPAX, NOT FOUND, 500 MG COM REV CT BL AL PLAS TRANS X 3, A4H
500513090052306, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS TRANS X 7, A4H
500513110053103, LIVEPAX, LIVEPAX, NOT FOUND, 500 MG COM REV CT BL AL PLAS TRANS X 7, A4H
500511605112415, LEVOID, LEVOID, NOT FOUND, 100 MCG COM CT BL AL AL X 30, A4H
500511606119413, LEVOID, LEVOID, NOT FOUND, 112 MCG COM CT BL AL AL X 30, A4H
500511607115411, LEVOID, LEVOID, NOT FOUND, 125 MCG COM CT BL AL AL X 30, A4H
500511608111411, LEVOID, LEVOID, NOT FOUND, 150 MCG COM CT BL AL AL X 30, A4H
500511609118418, LEVOID, LEVOID, NOT FOUND, 175 MCG COM CT BL AL AL X 30, A4H
500511610116415, LEVOID, LEVOID, NOT FOUND, 200 MCG COM CT BL AL AL X 30, A4H
500511601117412, LEVOID, LEVOID, NOT FOUND, 25 MCG COM CT BL AL AL X 30, A4H
500511611112316, LEVOID, LEVOID, NOT FOUND, 38MCG COM CT BL AL AL X 30 , A4H
500511602113410, LEVOID, LEVOID, NOT FOUND, 50 MCG COM CT BL AL AL X 30, A4H
500511603111411, LEVOID, LEVOID, NOT FOUND, 75 MCG COM CT BL AL AL X 30, A4H
500511604116417, LEVOID, LEVOID, NOT FOUND, 88 MCG COM CT BL AL AL X 30, A4H
500504901135413, LEUCOGEN, LEUCOGEN, NOT FOUND, 200 MG/ML XPE CT FR VD AMB X 120 ML, A4H
500504902115416, LEUCOGEN, LEUCOGEN, NOT FOUND, 80 MG CAP GEL MICROG CT BL AL PLAS INC X 20, A4H
