500509701177415; MITICOÇAN; MITICOCAN; NOT FOUND; 100 MG/G SAB CT FILME PLAS TRANSP X 80 G; A4H
500509702130412; MITICOÇAN; MITICOCAN; NOT FOUND; 200 MCL/ML SOL TOP CR FR VD AMB X 100 ML; A4H
500514701139110; MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA; MALEATO DEXCLORFENIRAMINA BETAMETASONA; NOT FOUND; 0.4MG/ML + 0.05MG/ML XPE CT FR PET AMB X 120 ML + CP MED; A4H
500505201110416; MIONEVRIX; MIONEVRIX; NOT FOUND; COM REV CT 2 BL AL PLAS INC X 10; A4H
500508505110410; MIRTAX; MIRTAX; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 10 ; A4H
500508502111416; MIRTAX; MIRTAX; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 15; A4H
500508503118414; MIRTAX; MIRTAX; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 30; A4H
500508506117419; MIRTAX; MIRTAX; NOT FOUND; 5 MG COM REV CT BL AL PLAS INC X 10; A4H
500508501115418; MIRTAX; MIRTAX; NOT FOUND; 5 MG COM REV CT BL AL PLAS INC X 15; A4H
500508504114412; MIRTAX; MIRTAX; NOT FOUND; 5 MG COM REV CT BL AL PLAS INC X 30; A4H
500505101116412; MENOPAX; MENOPAX; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 20; A4H
500513080051503; MIRTAX; MIRTAX; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 4; A4H
500513080051403; MIRTAX; MIRTAX; NOT FOUND; 5 MG COM REV CT BL AL PLAS INC X 4; A4H
500505001111427; MAXILIV; MAXILIV; NOT FOUND; 500MG COM CT 2 BL AL PLAS INC X 10; A4H
500505002134420; MAXILIV; MAXILIV; NOT FOUND; 500MG/ML SOL OR CT FR PLAS OPC X 20ML; A4H
500508401110414; MERACILINA; MERACILINA; NOT FOUND; 500.000 U COM CT STR X 12; A4H
500508402117412; MERACILINA; MERACILINA; NOT FOUND; 500.000 U COM CT 25 STR X 10; A4H
500512601110319; MERITOR; MERITOR; NOT FOUND; 2 MG + 1000 MG COM REV CT BL AL PLAS INC X 10 ; A4H
500512603113315; MERITOR; MERITOR; NOT FOUND; 4 MG + 1000 MG COM REV CT BL AL PLAS INC X 10 ; A4H
500512602117317; MERITOR; MERITOR; NOT FOUND; 2 MG + 1000 MG COM REV CT BL AL PLAS INC X 30; A4H
500512604111316; MERITOR; MERITOR; NOT FOUND; 4 MG + 1000 MG COM REV CT BL AL PLAS INC X 30; A4H
500514110058103; MONTELAIR; MONTELAIR; NOT FOUND; 4 MG COM MAST CT BL AL AL X 10; A4H
500514110058203; MONTELAIR; MONTELAIR; NOT FOUND; 4 MG COM MAST CT BL AL AL X 30; A4H
500514110058303; MONTELAIR; MONTELAIR; NOT FOUND; 5 MG COM MAST CT BL AL AL X 10; A4H
500514110058403; MONTELAIR; MONTELAIR; NOT FOUND; 5 MG COM MAST CT BL AL AL X 30; A4H
500512080046406; MONTELUCASTE DE SÓDIO; MONTELUCASTE SODIO; MONTELUCASTE SODIO; 10 MG COM REV CT BL AL/AL X 10; A4H
500515101119419; MONTELAIR; MONTELAIR; NOT FOUND; 10 MG COM REV CT BL AL AL X 10; A4H
500515102115417; MONTELAIR; MONTELAIR; NOT FOUND; 10 MG COM REV CT BL AL/AL X 30; A4H
500512050041704; MONTELAIR; MONTELAIR; NOT FOUND; 4 MG GRAN CT 10 SACH X 350 MG ; A4H
500512120047206; MONTELUCASTE DE SÓDIO; MONTELUCASTE SODIO; MONTELUCASTE SODIO; 4 MG GRAN CT 10 SACH X 350 MG; A4H
500512050041804; MONTELAIR; MONTELAIR; NOT FOUND; 4 MG GRAN CT 30 SACH X 350 MG; A4H
500512120047306; MONTELUCASTE DE SÓDIO; MONTELUCASTE SODIO; MONTELUCASTE SODIO; 4 MG GRAN CT 30 SACH X 350 MG; A4H
