500502101166415; COLPISTATIN; COLPISTATIN; NOT FOUND; 62.5 MG/G + 25.000 UI/G + 1.25 MG/G CREM VAG CT BG AL X 40 G + 10 APLIC; A4H
500501303164318; CANDICORT; CANDICORT; NOT FOUND; 20 MG/G + 0.64 MG/G POM DERM CT BG X 10 G; A4H
500501304160316; CANDICORT; CANDICORT; NOT FOUND; 20 MG / G + 0.64 MG / G CREM DERM CT BG AL X 10 G; A4H
500501302168311; CANDICORT; CANDICORT; NOT FOUND; 20 MG / G + 0.64 MG / G POM DERM CT BG AL X 30 G; A4H
500501301161311; CANDICORT; CANDICORT; NOT FOUND; 20 MG / G + 0.64 MG / G CREM DERM CT BG AL X 30 G; A4H
500514401119416; CLOPIN; CLOPIN; NOT FOUND; 75 MG COM REV CT BL AL/AL X 15; A4H
500514402115414; CLOPIN; CLOPIN; NOT FOUND; 75 MG COM REV CT BL AL/AL X 30; A4H
500501701119411; CARNABOL; CARNABOL; NOT FOUND; COM OR CT STR AL X 20; A4H
500501901118417; CEFALIUM; CEFALIUM; NOT FOUND; 1 MG + 450 MG + 75 MG + 10 MG COM CT BL AL PLAS INC X 12; A4H
500502001110418; CEFALIV; CEFALIV; NOT FOUND; COM CT BL AL PLAS INC X 12; A4H
500501601114416; CANDORAL; CANDORAL; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 10; A4H
500514001110111; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT BL AL PLAS INC X 10; A4H
500514002117118; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT BL AL PLAS INC X 30; A4H
500512102114416; COMBIRON FÓLICO; COMBIRON FOLICO; NOT FOUND; COM REV CT BL AL PLAS INC X 15 ; A4H
500512101118418; COMBIRON FÓLICO; COMBIRON FOLICO; NOT FOUND; COM REV CT BL AL PLAS INC X 45; A4H
500513060050504; CIPIDE; CIPIDE; NOT FOUND; 100 MG COM CT BL AL PLAS TRANS X 10; A4H
500513060050604; CIPIDE; CIPIDE; NOT FOUND; 100 MG COM CT BL AL PLAS TRANS X 30 ; A4H
500513080052106; CIPROFIBRATO; CIPROFIBRATO; CIPROFIBRATO; 100 MG COM CT BL AL PLAS TRANS X 30; A4H
500513102118118; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 10 MG COM REV CT BL AL PLAS INC X 15; A4H
500513101111111; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 10 MG COM REV CT BL AL PLAS INC X 30; A4H
500513103114116; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 5 MG COM REV CT BL AL PLAS INC X 15; A4H
500513104110114; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 5 MG COM REV CT BL AL PLAS INC X 30; A4H
500513070051006; CLORIDRATO DE DONEPEZILA; CLORIDRATO DONEPEZILA; CLORIDRATO DONEPEZILA; 10 MG COM REV CT BL AL PLAS TRANS X 15 ; A4H
500513070050906; CLORIDRATO DE DONEPEZILA; CLORIDRATO DONEPEZILA; CLORIDRATO DONEPEZILA; 5 MG COM REV CT BL AL PLAS TRANS X 15; A4H
500514020055106; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 15 MG/ML XPE CT FR VD AMB X 120 ML + COP; A4H
500512040041106; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 150MG COM REV CT BL AL/AL X 20; A4H
500512040041206; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 300MG COM REV CT BL AL/AL X 20; A4H
500512030040906; CLORIDRATO DE TERBINAFINA; CLORIDRATO TERBINAFINA; CLORIDRATO TERBINAFINA; 250 MG COM CT BL AL PLAS INC X 14; A4H
500512030041006; CLORIDRATO DE TERBINAFINA; CLORIDRATO TERBINAFINA; CLORIDRATO TERBINAFINA; 250 MG COM CT BL AL PLAS INC X 28; A4H
500513060049906; CLORIDRATO DE TRAMADOL+PARACETAMOL; CLORIDRATO TRAMADOL PARACETAMOL; NOT FOUND; 37.5 MG + 325 MG COM REV CT BL AL PLAS TRANS X 10; A4H
500513060050006; CLORIDRATO DE TRAMADOL+PARACETAMOL; CLORIDRATO TRAMADOL PARACETAMOL; NOT FOUND; 37.5 MG + 325 MG COM REV CT BL AL PLAS TRANS X 20; A4H
500513901118119; CLORIDRATO DE VERAPAMIL; CLORIDRATO VERAPAMIL; CLORIDRATO VERAPAMIL; 120 MG COM REV LIB RETARD CT BL AL PLAS INC X 20; A4H
500512090046606; CLORIDRATO DE VERAPAMIL; CLORIDRATO VERAPAMIL; CLORIDRATO VERAPAMIL; 240 MG COM REV RETARD CT BL AL PLAS INC X 30; A4H
500501801164417; CAUTEREX; CAUTEREX; NOT FOUND; 1 UL + 666 U + 1.0 MG UNG CT BG AL X 10 G; A4H
