500505703132416, NOVAMOX, NOVAMOX, NOT FOUND, (80 MG/ML + 11.4 MG/ML APOS RECONST) PO PREP EXT CT FR VD AMB + FR VD AMB DIL X 90 ML, A4H
500505704139414, NOVAMOX, NOVAMOX, NOT FOUND, (80 MG/ML + 11.4 MG/ML APOS RECONST) PO PREP EXT CT FR VD AMB + FR VD AMB DIL X 60 ML, A4H
500505705119417, NOVAMOX, NOVAMOX, NOT FOUND, 875 MG + 125 MG COM REV CT FR VD AMB X 14 , A4H
500505706115415, NOVAMOX, NOVAMOX, NOT FOUND, 875 MG + 125 MG COM REV CT FR VD AMB X 20, A4H
500505905118414, NOVOCILIN, NOVOCILIN, NOT FOUND, 875 MG COM CT BL AL PLAS INC X 14, A4H
500505904111416, NOVOCILIN, NOVOCILIN, NOT FOUND, 875 MG COM CT BL AL PLAS INC X 20, A4H
500505901139417, NOVOCILIN, NOVOCILIN, NOT FOUND, 250 MG / 5 ML PO PREP EXTEMP SUS OR CT FR VD AMB X 150 ML + SER DOS X 10 ML, A4H
500505902135415, NOVOCILIN, NOVOCILIN, NOT FOUND, 400 MG / 5 ML PO PREP EXTEMP SUS OR CT FR VD AMB X 100 ML + SER DOS X 10 ML, A4H
500505906114412, NOVOCILIN, NOVOCILIN, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 15, A4H
500505903115418, NOVOCILIN, NOVOCILIN, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 21, A4H
500505603162313, NOVACORT, NOVACORT, NOT FOUND, 20 MG/G + 0.64 MG/G + 2.5 MG/G CREM DERM CT BG AL X 10 G, A4H
500505601161311, NOVACORT, NOVACORT, NOT FOUND, 20 MG/G + 0.64 MG/G + 2.5 MG/G CREM DERM CT BG AL X 30 G, A4H
500505602166315, NOVACORT, NOVACORT, NOT FOUND, 20 MG/G + 0.64 MG/G + 2.5 MG/G POM DERM CT BG AL X 30 G, A4H
500505501130412, NOTUSS, NOTUSS, NOT FOUND, 1.5 MG + 12 MG + 1.5 MG + 1.5 MG XPE CT FR PLAS PET AMB X 120 ML + CP MED X 10 ML, A4H
500505502137410, NOTUSS, NOTUSS, NOT FOUND, 3 MG + 50 MG+ 3 MG + 3 MG XPE CT FR PLAS PET AMB X 120 ML + CP MED X 10 ML, A4H
500505503117413, NOTUSS, NOTUSS, NOT FOUND, 3 MG + 50 MG + 3 MG + 3 MG PAS CT STR X 12 (SABOR MENTA), A4H
500513080051704, NOTUSS TSS, NOTUSS TSS, NOT FOUND, 1.5 MG/ML XPE CT FR PLAS AMB X 120 ML + SER DOS, A4H
500513080051804, NOTUSS TSS, NOTUSS TSS, NOT FOUND, 1.5 MG/ML XPE CT FR PLAS AMB X 120 ML + COP, A4H
500513080051604, NOTUSS TSS, NOTUSS TSS, NOT FOUND, 1.5 MG/ML XPE CT FR PLAS AMB X 60 ML + SER DOS, A4H
500513080052004, NOTUSS TSS, NOTUSS TSS, NOT FOUND, 3 MG/ML XPE CT FR PLAS AMB X 120 COP, A4H
500513080051904, NOTUSS TSS, NOTUSS TSS, NOT FOUND, 3 MG/ML XPE CT FR PLAS AMB X 60 ML + COP , A4H
500506004114417, NOVOFER, NOVOFER, NOT FOUND, 126 MG COM REV CT BL AL PLAS INC X 45, A4H
500506003134414, NOVOFER, NOVOFER, NOT FOUND, SOL OR CT FR VD AMB X 30ML + CGT, A4H
500512402134412, NOVOFER PED, NOVOFER PED, NOT FOUND, 263.16 MG/ML SUS OR CT FR VD AMB X 30 ML + CGT, A4H
500512403130410, NOVOFER PED, NOVOFER PED, NOT FOUND, 263.16 MG/ML SUS OR CT FR PLAS AMB X 30 ML + CGT, A4H
500512401138414, NOVOFER PED, NOVOFER PED, NOT FOUND, 52.63 MG/ML SUS OR CT FR PLAS PET AMB X 120 ML + CP MED X 10ML, A4H
500505301115411, NECAMIN, NECAMIN, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 6, A4H
500505302138413, NECAMIN, NECAMIN, NOT FOUND, 20 MG/ML SUS OR CT FR VD AMB X 30 ML + CP MED 10 ML, A4H
500514110058003, NISULID, NISULID, NOT FOUND, 100 MG COM DISP CT BL AL PLAS TRANS X 4, A4H
500509307134311, NISULID, NISULID, NOT FOUND, 10 MG/ML SUS OR CT FR VD AMB X 60 ML, A4H
500509306138313, NISULID, NISULID, NOT FOUND,  100 MG GRAN CT 12 ENV PAP/PE/AL/PE X 2 G, A4H
500509302140313, NISULID, NISULID, NOT FOUND, 100 MG SUP CT STR X 12, A4H
500509304119311, NISULID, NISULID, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 12, A4H
500509309110312, NISULID, NISULID, NOT FOUND, 100 MG COM DISP CT BL AL PLAS INC X 12, A4H
500509305166313, NISULID, NISULID, NOT FOUND, 20 MG/G GEL CT BG AL X 40 G, A4H
500509303147311, NISULID, NISULID, NOT FOUND, 50 MG SUP CT STR X 12, A4H
500509301136411, NISULID, NISULID, NOT FOUND, 50 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML , A4H
500511701154311, NEO DECAPEPTYL LP, NEO DECAPEPTYL LP, NOT FOUND, 11.25 MG PO LIOF INJ CT FA VD INC + SOL DIL X 2 ML, A4H
500505401152414, NEO DECAPEPTYL, NEO DECAPEPTYL, NOT FOUND, 3.75 MG PO LIOF INJ CT FA VD INC + SOL DIL AMP X 2 ML, A4H
