1091700460011; CEFALINA; CEFALINA; NOT FOUND; 30MG+300MG+30MG COM REV CT BL AL PVC INC X 20; MDQ
1091700460038; CEFALINA; CEFALINA; NOT FOUND; 30MG+300MG+30MG COM REV CT BL AL PVC INC X 100; MDQ
1091700740030; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; MDQ
1091700740014; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; MDQ
1091700530011; CEFADROX; CEFADROX; NOT FOUND; 250MG PO P/ SUSP VD. C/ 80ML; MDQ
1091700530028; CEFADROX; CEFADROX; NOT FOUND; 500MG CX. C/ 08 CAPS.; MDQ
1091700080019; CALCIMED; CALCIMED; NOT FOUND; VD. C/ 150ML; MDQ
1091700660037; CLORAMED; CLORAMED; NOT FOUND; 25 MG/ML SUS OR CT FR  VD AMB X 60 ML; MDQ
1091700100031; CLORAMED; CLORAMED; NOT FOUND; 250 MG CAP GEL DURA CT 2 BL AL PLAS INC X 6; MDQ
1091700050020; COMPLEXO B; COMPLEXO B; NOT FOUND; VD. C/ 100ML SOLUCAO; MDQ
1091700050038; COMPLEXO B; COMPLEXO B; NOT FOUND; CX. C/ 20 DRAGEAS; MDQ
1091700710018; CLORIDRATO DE TETRACICLINA; CLORIDRATO TETRACICLINA; CLORIDRATO TETRACICLINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 8; MDQ
1091700710026; CLORIDRATO DE TETRACICLINA; CLORIDRATO TETRACICLINA; CLORIDRATO TETRACICLINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 80; MDQ
1091700890016; CLORIDRATO DE HIDROXIZINA; CLORIDRATO HIDROXIZINA; NOT FOUND; 2 MG/ML SOL OR CT FR PLAS AMB X 100 ML + SER DOSAD; MDQ
1091700890024; CLORIDRATO DE HIDROXIZINA; CLORIDRATO HIDROXIZINA; NOT FOUND; 2 MG/ML SOL OR CX 80 FR PLAS AMB X 100 ML + 80 SER DOSAD (EMB HOSP); MDQ
