1091700440010; INFLAMEX; INFLAMEX; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 20; MDQ
1091700830013; IBUPROFENO; IBUPROFENO; IBUPROFENO; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 30 ML; MDQ
1091700830056; IBUPROFENO; IBUPROFENO; IBUPROFENO; 100 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML; MDQ
1091700830031; IBUPROFENO; IBUPROFENO; IBUPROFENO; 50 MG/ML SUS OR CX 100 FR PLAS OPC GOT X 30 ML (EMB HOSP); MDQ
1091700910076; IBUPROMED; IBUPROMED; NOT FOUND; 100 MG / ML SUS OR CT FR PLAS OPC GOT X 20 ML; MDQ
1091700910068; IBUPROMED; IBUPROMED; NOT FOUND; 50 MG / ML SUS OR CT FR PLAS OPC GOT X 30 ML; MDQ
1091700820018; IBUPROFENO; IBUPROFENO; IBUPROFENO; 200 MG COM REV CT BL AL PLAS INC X 20; MDQ
1091700820050; IBUPROFENO; IBUPROFENO; IBUPROFENO; 400 MG COM REV CT BL AL PLAS INC X 20; MDQ
1091700820077; IBUPROFENO; IBUPROFENO; IBUPROFENO; 400 MG COM REV CT BL AL PLAS INC X 100 (EMB MULT); MDQ
1091700910051; IBUPROMED; IBUPROMED; NOT FOUND; 400 MG COM REV CT BL AL PLAS TRANS X 100 (EMB MULT); MDQ
1091700910041; IBUPROMED; IBUPROMED; NOT FOUND; 400 MG COM REV CT BL AL PLAS TRANS X 30; MDQ
1091700180024; IODOFLUX; IODOFLUX; NOT FOUND; VD. C/ 100ML; MDQ
