1091700320015; HIDROFLUX; HIDROFLUX; NOT FOUND; 50 MG COM CT BL AL PLAS AMB X 20  ; MDQ
1091700320090; HIDROFLUX; HIDROFLUX; NOT FOUND; 25 MG COM CT BL AL PLAS AMB X 1000 (EMB HOSP); MDQ
1091700320058; HIDROFLUX; HIDROFLUX; NOT FOUND; 25 MG COM CT BL AL PLAS AMB X 30; MDQ
1091700320082; HIDROFLUX; HIDROFLUX; NOT FOUND; 25 MG COM CT BL AL PLAS AMB X 500 (EMB HOSP); MDQ
1091700320066; HIDROFLUX; HIDROFLUX; NOT FOUND; 25 MG COM CT BL AL PLAS AMB X 60; MDQ
1091700320074; HIDROFLUX; HIDROFLUX; NOT FOUND; 25 MG COM CT BL AL PLAS AMB X 90; MDQ
1091700930018; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; 25 MG COM CT BL AL PLAS AMB X 30; MDQ
1091700930026; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; 25 MG COM CT BL AL PLAS AMB X 60; MDQ
1091700930034; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; 25 MG COM CT BL AL PLAS AMB X 90; MDQ
1091700930042; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; 25 MG COM CT BL AL PLAS AMB X 500 (EMB HOSP); MDQ
1091700930050; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; 25 MG COM CT BL AL PLAS AMB X 1000 (EMB HOSP); MDQ
1091700930069; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; 50 MG COM CT BL AL PLAS AMB X 20; MDQ
1091700930077; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; 50 MG COM CT BL AL PLAS AMB X 500 (EMB HOSP); MDQ
ISENTO; HIDROXIMED; HIDROXIMED; NOT FOUND; 60 MG/ML SUS ORAL FR X 240 ML; MDQ
