1091700510027; DIUREFLUX; DIUREFLUX; NOT FOUND; 100MG CX. C/ 28 COMP.; MDQ
1091700510035; DIUREFLUX; DIUREFLUX; NOT FOUND; 25 MG CX. C/ 42 COMP.; MDQ
1091700510019; DIUREFLUX; DIUREFLUX; NOT FOUND; 50 MG CX. C/ 28 COMP.; MDQ
1091700470025; DELTAMETRIL; DELTAMETRIL; NOT FOUND; 20 MG LOC FR PLAS OPC CT 100 ML; MDQ
1091700470017; DELTAMETRIL; DELTAMETRIL; NOT FOUND; 20 MG SHAMP FR PLAS OPC CT 100 ML; MDQ
1091700150012; DIPIMED; DIPIMED; NOT FOUND; FRS. C/ 10ML; MDQ
1091700150039; DIPIMED; DIPIMED; NOT FOUND; FRS. C/ 20ML; MDQ
1091700150055; DIPIMED; DIPIMED; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS AMB X 10 ML; MDQ
1091700150047; DIPIMED; DIPIMED; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS AMB X 20 ML; MDQ
1091700150063; DIPIMED; DIPIMED; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 100; MDQ
1091700150071; DIPIMED; DIPIMED; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 200; MDQ
1091700150020; DIPIRON; DIPIRON; NOT FOUND; CX. C/ 100 COMP.; MDQ
1091700150020; DIPIRON; DIPIRON; NOT FOUND; CX. C/ 200 COMP.; MDQ
1091700800017; DIPIRONA; DIPIRONA; DIPIRONA; 500 MG/ML SOL OR CT FR PLAS GOT AMB X 10 ML ; MDQ
1091700800025; DIPIRONA; DIPIRONA; DIPIRONA; 500 MG/ML SOL OR CT FR PLAS GOT AMB X 20 ML; MDQ
