1091700430015; PRESSTOPRIL; PRESSTOPRIL; NOT FOUND; 12.5 MG COM CT BL AL PLAS INC X 16; MDQ
1091700430023; PRESSTOPRIL; PRESSTOPRIL; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 16; MDQ
1091700430031; PRESSTOPRIL; PRESSTOPRIL; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 16; MDQ
1091700430112; PRESSTOPRIL; PRESSTOPRIL; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 28; MDQ
1091700430104; PRESSTOPRIL; PRESSTOPRIL; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); MDQ
1091700430139; PRESSTOPRIL; PRESSTOPRIL; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; MDQ
1091700430147; PRESSTOPRIL; PRESSTOPRIL; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 60; MDQ
1091700430155; PRESSTOPRIL; PRESSTOPRIL; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 1000 (EMB HOSP); MDQ
1091700350011; PRESSOFLUX; PRESSOFLUX; NOT FOUND; 40 MG COM CT FR VD INC X 40; MDQ
1091700350021; PRESSOFLUX; PRESSOFLUX; NOT FOUND; 80 MG COM CT FR VD INC X 20; MDQ
1091700500021; PRESSOMEDE; PRESSOMEDE; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 30; MDQ
1091700500031; PRESSOMEDE; PRESSOMEDE; NOT FOUND; 20 MG COM CT BL AL PLAS INC X 30; MDQ
1091700500013; PRESSOMEDE; PRESSOMEDE; NOT FOUND; 5MG CX. C/ 30 COMP.; MDQ
1091700500099; PRESSOMEDE; PRESSOMEDE; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); MDQ
1091700500102; PRESSOMEDE; PRESSOMEDE; NOT FOUND; 20 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); MDQ
1091700500145; PRESSOMEDE; PRESSOMEDE; NOT FOUND; 10 MG COM CT BL AL AL X 30; MDQ
1091700500161; PRESSOMEDE; PRESSOMEDE; NOT FOUND; 10 MG COM CT BL AL AL X 500 (EMB HOSP); MDQ
1091700500196; PRESSOMEDE; PRESSOMEDE; NOT FOUND; 20 MG COM CT BL AL AL X 500 (EMB HOSP); MDQ
1091700500153; PRESSOMEDE; PRESSOMEDE; NOT FOUND; 10 MG COM CT BL AL AL X 60; MDQ
1091700500218; PRESSOMEDE; PRESSOMEDE; NOT FOUND; 10 MG COM CT STR AL AL X 500 (EMB HOSP); MDQ
1091700500201; PRESSOMEDE; PRESSOMEDE; NOT FOUND; 10 MG COM CT STR AL AL X 30; MDQ
1091700500129; PRESSOMEDE; PRESSOMEDE; NOT FOUND; 10 MG COM CT STR AL AL X 60  ; MDQ
1091700630022; PANTONAX; PANTONAX; NOT FOUND; CX C/14 COMP. REV.; MDQ
1091700630014; PANTONAX; PANTONAX; NOT FOUND; CX. C/ 07 COMP. REV.; MDQ
1091700630057; PANTONAX; PANTONAX; NOT FOUND; 40 MG COM REV CT BL AL PLAS INC X 30; MDQ
1091700630049; PANTONAX; PANTONAX; NOT FOUND; 40 MG COM REV CT BL AL PLAS INC X 14; MDQ
1091700630030; PANTONAX; PANTONAX; NOT FOUND; 40 MG COM REV CT BL AL PLAS INC X 07; MDQ
1091700730019; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; MDQ
1091700920012; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM CT BL AL PLAS AMB X 20; MDQ
1091700920020; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM CT BL AL PLAS AMB X 200 (EMB MULT); MDQ
1091700920039; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM CT BL AL PLAS AMB X 500 (EMB MULT); MDQ
1091700920055; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS AMB X 20; MDQ
1091700920063; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS AMB X 200 (EMB MULT); MDQ
1091700920081; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS AMB X 500 (EMB MULT); MDQ
1091700600018; PERMETRIL; PERMETRIL; NOT FOUND; FR. C/ 60 ML; MDQ
