1091700620035; FUNGONAZOL; FUNGONAZOL; NOT FOUND; 20 MG/ML SHAMP CT FR PLAS OPC X 100 ML ; MDQ
1091700620019; FUNGONAZOL; FUNGONAZOL; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 10; MDQ
1091700620027; FUNGONAZOL; FUNGONAZOL; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 20; MDQ
1091700870023; FINAGRIPE; FINAGRIPE; NOT FOUND; (400 MG + 20 MG) + 400 MG COM REV CT BL AL PLAS INC X 24; MDQ
1091700870031; FINAGRIPE; FINAGRIPE; NOT FOUND; (400 MG + 20 MG) + 400 MG COM REV CT BL AL PLAS INC X 100 (EMB MULT); MDQ
1091700550053; FLUCOVIL; FLUCOVIL; NOT FOUND; 150 MG CAP CT BL AL PLAS INC X 1; MDQ
1091700550045; FLUCOVIL; FLUCOVIL; NOT FOUND; 150 MG CAP CT BL AL PLAS INC X 2 ; MDQ
1091700370020; FLAZOL; FLAZOL; NOT FOUND; 40 MG/ML SUS OR CT FR VD AMB X 100 ML; MDQ
1091700370012; FLAZOL; FLAZOL; NOT FOUND; 250MG COM CT 2 BL AL PLAS INC X 10; MDQ
1091700360017; FUNGISTATINA; FUNGISTATINA; NOT FOUND; 100000 UI/ML SUS OR CT FR VD AMB X 50 ML + CGT; MDQ
1091700450016; FLOXIMED; FLOXIMED; NOT FOUND; 400 MG COM REV CT BL AL PLAS INC X 14; MDQ
1091700450032; FLOXIMED; FLOXIMED; NOT FOUND; 400 MG COM REV CT BL AL PLAS INC X 420; MDQ
