53243; FEMARA ; FEMARA; NOT FOUND; CPR REVEST 2.50 MG x 28; NVR
55182; FLOTAC ; FLOTAC; NOT FOUND; CAPS 70 MG x 10; NVR
58245; FLOTAC ; FLOTAC; NOT FOUND; CAPS 70 MG x 14; NVR
54666; FLOTAC ; FLOTAC; NOT FOUND; CAPS 70 MG x 20; NVR
77206; FLOTAC ; FLOTAC; NOT FOUND; CAPS 70 MG x 4; NVR
52098; FORADIL ; FORADIL; NOT FOUND; AERO DOSIS 12 Y x 50 (/DOS); NVR
61723; FORADIL ; FORADIL; NOT FOUND; CAP INAL REF 12 Y x 30; NVR
64015; FORADIL ; FORADIL; NOT FOUND; CAP INAL REF 12 Y x 60; NVR
52099; FORADIL ; FORADIL; NOT FOUND; CAPS+INALAD. 12 Y x 30; NVR
54861; FORADIL ; FORADIL; NOT FOUND; CAPS+INALAD. 12 Y x 60; NVR
77094; FORASEQ ; FORASEQ; NOT FOUND; CAP INAL REF 200 Y x 120 (/12); NVR
77093; FORASEQ ; FORASEQ; NOT FOUND; CAP INAL REF 400 Y x 120 (/12); NVR
57724; FORASEQ ; FORASEQ; NOT FOUND; CAPS+INALAD. 200 Y x 120 (/12Y); NVR
78554; FORASEQ ; FORASEQ; NOT FOUND; CAPS+INALAD. 200 Y x 40 (/12); NVR
57725; FORASEQ ; FORASEQ; NOT FOUND; CAPS+INALAD. 400 Y x 120 (/12Y); NVR
78553; FORASEQ ; FORASEQ; NOT FOUND; CAPS+INALAD. 400 Y x 40 (/12); NVR
