61344, TAR BRIMONIDINA MG , TAR BRIMONIDINA, NOT FOUND, SOLN OFTAL 0.20 % 5 ML x 1, ALC
51220, TOBRADEX , TOBRADEX, NOT FOUND, POM. OFTAL 3.50 G x 1, ALC
51219, TOBRADEX , TOBRADEX, NOT FOUND, SUSP OFTAL 5 ML x 1, ALC
61761, TOBRAMI+DEXAMET.MG , TOBRAMI DEXAMET, NOT FOUND, SOLN OFTAL 5 ML x 1, ALC
58452, TOBRAMICINA MG , TOBRAMICINA, TOBRAMICINA, SOLN OFTAL 0.30 % 5 ML x 1, ALC
47115, TOBREX , TOBREX, NOT FOUND, POM. OFTAL 0.30 % 3.50 ML x 1, ALC
45231, TOBREX , TOBREX, NOT FOUND, SOLN OFTAL 0.30 % 5 ML x 1, ALC
58076, TRAVATAN , TRAVATAN, NOT FOUND, SOLN OFTAL 0.04 MG 2.50 ML x 1 (/ML), ALC
99984, TRAVATAN BAK FREE , TRAVATAN BAK FREE, NOT FOUND, SOL OFTAL 0.04 MG 2.50 ML x 1 (/, ALC
122429, TRAVATAN BAK FREE , TRAVATAN BAK FREE, NOT FOUND, SOL OFTAL 0.04 MG 5 ML x 1 (/ML), ALC
61796, TRISORB , TRISORB, NOT FOUND, SOLN OFTAL 15 ML x 1, ALC
