532900701110414, CAMBEM, CAMBEM, NOT FOUND, COM. BL C/2, UCI
532900702133418, CAMBEM, CAMBEM, NOT FOUND, SUS FR C/20 ML, UCI
532907201164415, CETODERM, CETODERM, NOT FOUND, 20 MG/G CREM DERM CT BG AL X 30 G, UCI
532907202179416, CETODERM, CETODERM, NOT FOUND, 20 MG/ML SHAMP CT FR PLAS OPC X 100 ML, UCI
532907203116418, CETODERM, CETODERM, NOT FOUND, 200 MG COM CT 3 BL AL PLAS INC X 10, UCI
532907204112416, CETODERM, CETODERM, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 10, UCI
532900901111414, CLOPSINA, CLOPSINA, NOT FOUND, 100 MG COM CX C/ 20, UCI
532900902116411, CLOPSINA, CLOPSINA, NOT FOUND, 100 MG COM CX C/ 200, UCI
532900903112418, CLOPSINA, CLOPSINA, NOT FOUND, 25 MG COM CX C/ 20, UCI
532900904119416, CLOPSINA, CLOPSINA, NOT FOUND, 25 MG COM CX C/ 200, UCI
532900906138418, CLOPSINA, CLOPSINA, NOT FOUND, SOL FR X 20 ML, UCI
532901004162410, CLOSTEMIN, CLOSTEMIN, NOT FOUND, 5 MG/G + 5 MG/G CREME VAG CT BG PLAS OPC X 40 G + APLICADOR, UCI
532901002161417, CLOSTEMIN, CLOSTEMIN, NOT FOUND, CRE BG X 30 G, UCI
532901201111411, COLCITRAT, COLCITRAT, NOT FOUND, 0.5 MG COM CX C/ 20, UCI
532900701110414, CAMBEM, CAMBEM, NOT FOUND, COM. BL C/2, UCI
532900702133418, CAMBEM, CAMBEM, NOT FOUND, SUS FR C/20 ML, UCI
532907201164415, CETODERM, CETODERM, NOT FOUND, 20 MG/G CREM DERM CT BG AL X 30 G, UCI
532907202179416, CETODERM, CETODERM, NOT FOUND, 20 MG/ML SHAMP CT FR PLAS OPC X 100 ML, UCI
532907203116418, CETODERM, CETODERM, NOT FOUND, 200 MG COM CT 3 BL AL PLAS INC X 10, UCI
532907204112416, CETODERM, CETODERM, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 10, UCI
532900901111414, CLOPSINA, CLOPSINA, NOT FOUND, 100 MG COM CX C/ 20, UCI
532900902116411, CLOPSINA, CLOPSINA, NOT FOUND, 100 MG COM CX C/ 200, UCI
532900903112418, CLOPSINA, CLOPSINA, NOT FOUND, 25 MG COM CX C/ 20, UCI
532900904119416, CLOPSINA, CLOPSINA, NOT FOUND, 25 MG COM CX C/ 200, UCI
532900906138418, CLOPSINA, CLOPSINA, NOT FOUND, SOL FR X 20 ML, UCI
532901004162410, CLOSTEMIN, CLOSTEMIN, NOT FOUND, 5 MG/G + 5 MG/G CREME VAG CT BG PLAS OPC X 40 G + APLICADOR, UCI
532901002161417, CLOSTEMIN, CLOSTEMIN, NOT FOUND, CRE BG X 30 G, UCI
532901201111411, COLCITRAT, COLCITRAT, NOT FOUND, 0.5 MG COM CX C/ 20, UCI
532900701110414, CAMBEM, CAMBEM, NOT FOUND, COM. BL C/2, UCI
532900702133418, CAMBEM, CAMBEM, NOT FOUND, SUS FR C/20 ML, UCI
