524308801139116, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML, LR3
524308802135114, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, LR3
524302801110410, DORIFLAN, DORIFLAN, NOT FOUND, C/10 DRAGEAS, LR3
524302802117419, DORIFLAN, DORIFLAN, NOT FOUND, C/20 DRAGEAS, LR3
524302803164410, DORIFLAN, DORIFLAN, NOT FOUND, EMULGEL 60 GRAMAS, LR3
524302901115414, DRAMAVIT, DRAMAVIT, NOT FOUND, 25X04 COMPRIMIDOS, LR3
524302902111412, DRAMAVIT, DRAMAVIT, NOT FOUND, B6 C/20 COMPRIMIDOS, LR3
524302903118410, DRAMAVIT, DRAMAVIT, NOT FOUND, B6 GOTAS 20 ML, LR3
524308601156416, DRAMAVIT B6, DRAMAVIT B6, NOT FOUND, 50 MG + 50 MG SOL INJ CT 100 AMP VD INC X 1 ML, LR3
524308801139116, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML, LR3
524308802135114, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, LR3
524302801110410, DORIFLAN, DORIFLAN, NOT FOUND, C/10 DRAGEAS, LR3
524302802117419, DORIFLAN, DORIFLAN, NOT FOUND, C/20 DRAGEAS, LR3
524302803164410, DORIFLAN, DORIFLAN, NOT FOUND, EMULGEL 60 GRAMAS, LR3
524302901115414, DRAMAVIT, DRAMAVIT, NOT FOUND, 25X04 COMPRIMIDOS, LR3
524302902111412, DRAMAVIT, DRAMAVIT, NOT FOUND, B6 C/20 COMPRIMIDOS, LR3
524302903118410, DRAMAVIT, DRAMAVIT, NOT FOUND, B6 GOTAS 20 ML, LR3
524308601156416, DRAMAVIT B6, DRAMAVIT B6, NOT FOUND, 50 MG + 50 MG SOL INJ CT 100 AMP VD INC X 1 ML, LR3
524308801139116, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML, LR3
524308802135114, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, LR3
524302801110410, DORIFLAN, DORIFLAN, NOT FOUND, C/10 DRAGEAS, LR3
524302802117419, DORIFLAN, DORIFLAN, NOT FOUND, C/20 DRAGEAS, LR3
524302803164410, DORIFLAN, DORIFLAN, NOT FOUND, EMULGEL 60 GRAMAS, LR3
524302901115414, DRAMAVIT, DRAMAVIT, NOT FOUND, 25X04 COMPRIMIDOS, LR3
524302902111412, DRAMAVIT, DRAMAVIT, NOT FOUND, B6 C/20 COMPRIMIDOS, LR3
524302903118410, DRAMAVIT, DRAMAVIT, NOT FOUND, B6 GOTAS 20 ML, LR3
524308601156416, DRAMAVIT B6, DRAMAVIT B6, NOT FOUND, 50 MG + 50 MG SOL INJ CT 100 AMP VD INC X 1 ML, LR3
524308801139116, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML, LR3
524308802135114, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, LR3
524302801110410, DORIFLAN, DORIFLAN, NOT FOUND, C/10 DRAGEAS, LR3
524302802117419, DORIFLAN, DORIFLAN, NOT FOUND, C/20 DRAGEAS, LR3
524302803164410, DORIFLAN, DORIFLAN, NOT FOUND, EMULGEL 60 GRAMAS, LR3
524302901115414, DRAMAVIT, DRAMAVIT, NOT FOUND, 25X04 COMPRIMIDOS, LR3
524302902111412, DRAMAVIT, DRAMAVIT, NOT FOUND, B6 C/20 COMPRIMIDOS, LR3
524302903118410, DRAMAVIT, DRAMAVIT, NOT FOUND, B6 GOTAS 20 ML, LR3
524308601156416, DRAMAVIT B6, DRAMAVIT B6, NOT FOUND, 50 MG + 50 MG SOL INJ CT 100 AMP VD INC X 1 ML, LR3
524308801139116, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML, LR3
524308802135114, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, LR3
524302801110410, DORIFLAN, DORIFLAN, NOT FOUND, C/10 DRAGEAS, LR3
524302802117419, DORIFLAN, DORIFLAN, NOT FOUND, C/20 DRAGEAS, LR3
524302803164410, DORIFLAN, DORIFLAN, NOT FOUND, EMULGEL 60 GRAMAS, LR3
524302901115414, DRAMAVIT, DRAMAVIT, NOT FOUND, 25X04 COMPRIMIDOS, LR3
524302902111412, DRAMAVIT, DRAMAVIT, NOT FOUND, B6 C/20 COMPRIMIDOS, LR3
524302903118410, DRAMAVIT, DRAMAVIT, NOT FOUND, B6 GOTAS 20 ML, LR3
524308601156416, DRAMAVIT B6, DRAMAVIT B6, NOT FOUND, 50 MG + 50 MG SOL INJ CT 100 AMP VD INC X 1 ML, LR3
524308801139116, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML, LR3
524308802135114, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, LR3
524302801110410, DORIFLAN, DORIFLAN, NOT FOUND, C/10 DRAGEAS, LR3
524302802117419, DORIFLAN, DORIFLAN, NOT FOUND, C/20 DRAGEAS, LR3
524302803164410, DORIFLAN, DORIFLAN, NOT FOUND, EMULGEL 60 GRAMAS, LR3
524302901115414, DRAMAVIT, DRAMAVIT, NOT FOUND, 25X04 COMPRIMIDOS, LR3
524302902111412, DRAMAVIT, DRAMAVIT, NOT FOUND, B6 C/20 COMPRIMIDOS, LR3
524302903118410, DRAMAVIT, DRAMAVIT, NOT FOUND, B6 GOTAS 20 ML, LR3
524308601156416, DRAMAVIT B6, DRAMAVIT B6, NOT FOUND, 50 MG + 50 MG SOL INJ CT 100 AMP VD INC X 1 ML, LR3
524308801139116, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML, LR3
524308802135114, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, LR3
524302801110410, DORIFLAN, DORIFLAN, NOT FOUND, C/10 DRAGEAS, LR3
524302802117419, DORIFLAN, DORIFLAN, NOT FOUND, C/20 DRAGEAS, LR3
524302803164410, DORIFLAN, DORIFLAN, NOT FOUND, EMULGEL 60 GRAMAS, LR3
524302901115414, DRAMAVIT, DRAMAVIT, NOT FOUND, 25X04 COMPRIMIDOS, LR3
524302902111412, DRAMAVIT, DRAMAVIT, NOT FOUND, B6 C/20 COMPRIMIDOS, LR3
524302903118410, DRAMAVIT, DRAMAVIT, NOT FOUND, B6 GOTAS 20 ML, LR3
524308601156416, DRAMAVIT B6, DRAMAVIT B6, NOT FOUND, 50 MG + 50 MG SOL INJ CT 100 AMP VD INC X 1 ML, LR3
524308801139116, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML, LR3
524308802135114, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, LR3
524302801110410, DORIFLAN, DORIFLAN, NOT FOUND, C/10 DRAGEAS, LR3
524302802117419, DORIFLAN, DORIFLAN, NOT FOUND, C/20 DRAGEAS, LR3
524302803164410, DORIFLAN, DORIFLAN, NOT FOUND, EMULGEL 60 GRAMAS, LR3
524302901115414, DRAMAVIT, DRAMAVIT, NOT FOUND, 25X04 COMPRIMIDOS, LR3
524302902111412, DRAMAVIT, DRAMAVIT, NOT FOUND, B6 C/20 COMPRIMIDOS, LR3
524302903118410, DRAMAVIT, DRAMAVIT, NOT FOUND, B6 GOTAS 20 ML, LR3
524308601156416, DRAMAVIT B6, DRAMAVIT B6, NOT FOUND, 50 MG + 50 MG SOL INJ CT 100 AMP VD INC X 1 ML, LR3
524308801139116, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML, LR3
524308802135114, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, LR3
524302801110410, DORIFLAN, DORIFLAN, NOT FOUND, C/10 DRAGEAS, LR3
524302802117419, DORIFLAN, DORIFLAN, NOT FOUND, C/20 DRAGEAS, LR3
524302803164410, DORIFLAN, DORIFLAN, NOT FOUND, EMULGEL 60 GRAMAS, LR3
524302901115414, DRAMAVIT, DRAMAVIT, NOT FOUND, 25X04 COMPRIMIDOS, LR3
524302902111412, DRAMAVIT, DRAMAVIT, NOT FOUND, B6 C/20 COMPRIMIDOS, LR3
524302903118410, DRAMAVIT, DRAMAVIT, NOT FOUND, B6 GOTAS 20 ML, LR3
524308601156416, DRAMAVIT B6, DRAMAVIT B6, NOT FOUND, 50 MG + 50 MG SOL INJ CT 100 AMP VD INC X 1 ML, LR3
524309201161119, DICLOFENACO DIETILAMÔNIO, DICLOFENACO DIETILAMONIO, DICLOFENACO DIETILAMONIO, 10 MG/G GEL CREM CT BG AL X 60 G, LR3
524302803164410, DORIFLAN, DORIFLAN, NOT FOUND, EMULGEL 60 GRAMAS, LR3
524302802117419, DORIFLAN, DORIFLAN, NOT FOUND, 50 MG DRG CT BL AL PLAS INC X 20, LR3
524302901115414, DRAMAVIT, DRAMAVIT, NOT FOUND, 100 MG COM CT 100 BL AL PLAS INC X 4 (EMB.HOSP), LR3
524302902111412, DRAMAVIT, DRAMAVIT, NOT FOUND, B6 C/20 COMPRIMIDOS, LR3
524308601156416, DRAMAVIT B6, DRAMAVIT B6, NOT FOUND, 50 MG + 50 MG SOL INJ CT 100 AMP VD INC X 1 ML, LR3
524302903118410, DRAMAVIT, DRAMAVIT, NOT FOUND, B6 GOTAS 20 ML, LR3
524308801139116, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML, LR3
524308802135114, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, LR3
524309201161119, DICLOFENACO DIETILAMÔNIO, DICLOFENACO DIETILAMONIO, DICLOFENACO DIETILAMONIO, 10 MG/G GEL CREM CT BG AL X 60 G, LR3
524302803164410, DORIFLAN, DORIFLAN, NOT FOUND, EMULGEL 60 GRAMAS, LR3
