523703701119414; PLAMET; PLAMET; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 20; LIB
523703703138416; PLAMET; PLAMET; NOT FOUND; 4 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML (PEDIATRICO); LIB
523703704150411; PLAMET; PLAMET; NOT FOUND; 5MG/ML 05 AMP X 2ML; LIB
523703705157418; PLAMET; PLAMET; NOT FOUND; 5MG/ML 50 AMP X 2ML; LIB
523704001110412; PROCIMAX; PROCIMAX; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 14; LIB
523704002117410; PROCIMAX; PROCIMAX; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 28 CALEND; LIB
523704005116415; PROCIMAX; PROCIMAX; NOT FOUND; 20 MG COM  REV CT BL AL PLAS INC X 7; LIB
523704003113419; PROCIMAX; PROCIMAX; NOT FOUND; 40 MG COM CT BL AL PLAS INC X 14; LIB
523704004111411; PROCIMAX; PROCIMAX; NOT FOUND; 40 MG COM REV CT BL AL PLAS INC X 28 CALEND; LIB
523706401116414; POZATO UNI; POZATO UNI; NOT FOUND; 1.5 MG COM REV CT BL AL PLAS INC X 1; LIB
523703601114410; PEPRAZOL; PEPRAZOL; NOT FOUND; 10 MG CAP GEL MICROGRANULOS CT FR PLAS OPC X 7; LIB
523703602110419; PEPRAZOL; PEPRAZOL; NOT FOUND; 20 MG CAP GEL MICROGRANULOS CT FR PLAS OPC X 28; LIB
523703604113415; PEPRAZOL; PEPRAZOL; NOT FOUND; 40 MG CAP GEL MICROGRANULOS CT FR PLAS OPC X 7; LIB
523703802136411; PLURAIR; PLURAIR; NOT FOUND; 50 MCG/DOSE SUS TOP CT FR SPR PLAS OPC X 120 DOSES; LIB
523703801172414; PLURAIR; PLURAIR; NOT FOUND; 50 MCG/DOSE SUS TOP CT FR SPR PLAS OPC X 60 DOSES; LIB
523713040027703; PLENANCE; PLENANCE; NOT FOUND; 10 MG COM REV CT BL AL/AL X 10; LIB
523713020027004; PLENANCE; PLENANCE; NOT FOUND; 10 MG COM REV CT BL AL/AL X 30; LIB
523713020027104; PLENANCE; PLENANCE; NOT FOUND; 10 MG COM REV CT BL AL/AL X 90 (EMB HOSP); LIB
523713020027204; PLENANCE; PLENANCE; NOT FOUND; 20 MG COM REV CT BL AL/AL X 30 ; LIB
523713020027304; PLENANCE; PLENANCE; NOT FOUND; 20 MG COM REV CT BL AL/AL 90 (EMB HOSP); LIB
