523700801112417; CARDILOL; CARDILOL; NOT FOUND; 12.50 MG COM CT BL AL PLAS INC X 15; LIB
523700806114418; CARDILOL; CARDILOL; NOT FOUND; 12.50 MG COM CT BL AL PLAS INC X 30; LIB
523700809113412; CARDILOL; CARDILOL; NOT FOUND; 12.50 MG COM CT BL AL PLAS INC X 60; LIB
523700802119415; CARDILOL; CARDILOL; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 15; LIB
523700803115413; CARDILOL; CARDILOL; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; LIB
523700810111411; CARDILOL; CARDILOL; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 60; LIB
523700804111411; CARDILOL; CARDILOL; NOT FOUND; 3.125 MG COM CT BL AL PLAS INC X 15; LIB
523700807110416; CARDILOL; CARDILOL; NOT FOUND; 3.125 MG COM CT BL AL PLAS INC X 30; LIB
523700811118418; CARDILOL; CARDILOL; NOT FOUND; 3.125 MG COM CT BL AL PLAS INC X 60; LIB
523700805118411; CARDILOL; CARDILOL; NOT FOUND; 6.250 MG COM CT BL AL PLAS INC X 15; LIB
523700808117414; CARDILOL; CARDILOL; NOT FOUND; 6.250 MG COM CT BL AL PLAS INC X 30; LIB
523700812114416; CARDILOL; CARDILOL; NOT FOUND; 6.250 MG COM CT BL AL PLAS INC X 60; LIB
523700905112316; CEBRALAT; CEBRALAT; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 15; LIB
523700901117313; CEBRALAT; CEBRALAT; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 30; LIB
523700904116318; CEBRALAT; CEBRALAT; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 60; LIB
523700902113311; CEBRALAT; CEBRALAT; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 30; LIB
523700903111312; CEBRALAT; CEBRALAT; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 60; LIB
523713070027906; CLORIDRATO DE DULOXETINA; CLORIDRATO DULOXETINA; CLORIDRATO DULOXETINA; 30 MG CAP DURA LIB RETARD FR PLAS OPC X 10; LIB
523713070028006; CLORIDRATO DE DULOXETINA; CLORIDRATO DULOXETINA; CLORIDRATO DULOXETINA; 30 MG CAP DURA LIB RETARD FR PLAS OPC X 30; LIB
523713070028106; CLORIDRATO DE DULOXETINA; CLORIDRATO DULOXETINA; CLORIDRATO DULOXETINA; 60 MG CAP DURA LIB RETARD FR PLAS OPC X 30; LIB
523701002116411; CEBRILIN; CEBRILIN; NOT FOUND; 20 MG COM REV CT BL AL/PLAS TRANS X 20; LIB
523701004119416; CEBRILIN; CEBRILIN; NOT FOUND; 30 MG COM REV CT BL AL/PLAS TRANS X 30; LIB
523700701118413; CALTREN; CALTREN; NOT FOUND; 10 MG COM CT BL PLAS AMB X 20; LIB
523700702114411; CALTREN; CALTREN; NOT FOUND; 10 MG COM CT BL AL PLAS AMB X 30; LIB
523700703110411; CALTREN; CALTREN; NOT FOUND; 20 MG COM CT BL PLAS AMB X 20; LIB
523700704117418; CALTREN; CALTREN; NOT FOUND; 20 MG COM CT BL AL PLAS AMB X 30; LIB
