53025; BABY SURE ; BABY SURE; NOT FOUND; TEST x 1; U_Q
54108; BABYDRAX ; BABYDRAX; NOT FOUND; PO ENVELOPE 27.9 G x 4; U_Q
59349; BABYDRAX ; BABYDRAX; NOT FOUND; PO ENVELOPE 27.9 G x 50; U_Q
63704; BACLON ; BACLON; NOT FOUND; CPR 10 MG x 20; U_Q
46353; BENZITRAT ; BENZITRAT; NOT FOUND; COLUT 1.50 MG 150 ML x 1 (/ML); U_Q
64397; BES ANLODIPINO MG ; BES ANLODIPINO; BESILATO ANLODIPINO; CPR 10 MG x 30; U_Q
64394; BES ANLODIPINO MG ; BES ANLODIPINO; BESILATO ANLODIPINO; CPR 5 MG x 20; U_Q
64395; BES ANLODIPINO MG ; BES ANLODIPINO; BESILATO ANLODIPINO; CPR 5 MG x 30; U_Q
57682; BETA-LONG ; BETA LONG; NOT FOUND; AMP. RETARD 3 MG 1 ML x 1; U_Q
76936; BETA-LONG ; BETA LONG; NOT FOUND; AMP. RETARD 3 MG 1 ML x 25; U_Q
54825; BETAPROSPAN ; BETAPROSPAN; NOT FOUND; AMP 5MG+2MG 1 ML x 1; U_Q
71079; BIO C ; BIO C; NOT FOUND; CPR EFER 1 G x 10; U_Q
88149; BIO C ; BIO C; NOT FOUND; CPR EFER 1 G x 30; U_Q
137596; BIO D ; BIO D; BETAMESILATO DI-HIDROERGOCRIPTINA; CAPS MOLE x 60; U_Q
113404; BIO D ; BIO D; BETAMESILATO DI-HIDROERGOCRIPTINA; GOTAS LA S/A 200 IU 20 ML x 1; U_Q
72772; BIO E ; BIO E; NOT FOUND; CAPS 400 MG x 20; U_Q
72605; BIOFLEX ; BIOFLEX; NOT FOUND; CPR x 148; U_Q
72606; BIOFLEX ; BIOFLEX; NOT FOUND; CPR x 16; U_Q
72607; BIOFLEX ; BIOFLEX; NOT FOUND; GOTAS 10 ML x 1; U_Q
72776; BIOGRIPE ; BIOGRIPE; NOT FOUND; CAPS x 100; U_Q
72773; BIOGRIPE ; BIOGRIPE; NOT FOUND; CAPS x 20; U_Q
72774; BIOGRIPE ; BIOGRIPE; NOT FOUND; GOTAS 20 ML x 1; U_Q
72775; BIOGRIPE ; BIOGRIPE; NOT FOUND; SOLN ORAL 100 ML x 1; U_Q
76594; BISALAX ; BISALAX; NOT FOUND; DRAG 5 MG x 150; U_Q
66683; BISALAX ; BISALAX; NOT FOUND; DRAG 5 MG x 20; U_Q
55129; BLEPHAGEL ; BLEPHAGEL; NOT FOUND; GEL. 40 G x 1; U_Q
52427; BONALEN ; BONALEN; NOT FOUND; CPR 10 MG x 15; U_Q
52428; BONALEN ; BONALEN; NOT FOUND; CPR 10 MG x 30; U_Q
61896; BONALEN ; BONALEN; NOT FOUND; CPR REVEST 70 MG x 4; U_Q
59391; BROMAZEPAM MG ; BROMAZEPAM; BROMAZEPAM; CPR 3 MG x 20; U_Q
59392; BROMAZEPAM MG ; BROMAZEPAM; BROMAZEPAM; CPR 3 MG x 30; U_Q
59393; BROMAZEPAM MG ; BROMAZEPAM; BROMAZEPAM; CPR 6 MG x 20; U_Q
59394; BROMAZEPAM MG ; BROMAZEPAM; BROMAZEPAM; CPR 6 MG x 30; U_Q
59353; BROMETO IPRATRO.MG ; BROMETO IPRATRO; BROMETO IPRATROPIO; SOLN INALT 0.025 % 20 ML x 1; U_Q
72984; BROMOPRIDA MG ; BROMOPRIDA; BROMOPRIDA; AMP. 10 MG 2 ML x 50; U_Q
71545; BROMOPRIDA MG ; BROMOPRIDA; BROMOPRIDA; SOLN ORAL 4 MG 20 ML x 1 (/ML); U_Q
72781; BRONCOCILIN ; BRONCOCILIN; NOT FOUND; XAR. 120 ML x 1; U_Q
78936; BUPSTESIC ; BUPSTESIC; NOT FOUND; F.AMP 0.50 % 20 ML x 6; U_Q
93009; BUPSTESIC COM VASO ; BUPSTESIC VASO; NOT FOUND; F AMP . 0.50 % 20 ML x 6; U_Q
74208; BUTILB ESCOPOLA MG ; BUTILB ESCOPOLA; BUTILBROMETO ESCOPOLAMINA; AMP. 20 MG 1 ML x 50; U_Q
