530806001112416, MEDROXON, MEDROXON, NOT FOUND, 10 MG COMP CX CT 01 BL AL PLAS INC X 10, SNV
530804601112410, METOCLOSAN, METOCLOSAN, NOT FOUND, 10 MG COMP CT 02 BL AL PLAS INC X 10, SNV
530804602135414, METOCLOSAN, METOCLOSAN, NOT FOUND, 4MG/ML SOL ORAL CT FR PLAS OPC X 10 ML, SNV
530804701168116, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 100MG/G GEL VAG CT 01 BENS AL X 50 G + 10 APLIC, SNV
530804801111418, METROVAL, METROVAL, NOT FOUND, 250 MG COMP CT 02 BL AL PLAS INC X 10, SNV
530804805133416, METROVAL, METROVAL, NOT FOUND, 40 MG/ML SUS OR CT 50 FR VD AMB X 100 ML (EMB HOSP), SNV
530804803165418, METROVAL, METROVAL, NOT FOUND, GEL VAG CT BINS AL X 50 G + APLIC, SNV
530806001112416, MEDROXON, MEDROXON, NOT FOUND, 10 MG COMP CX CT 01 BL AL PLAS INC X 10, SNV
530804601112410, METOCLOSAN, METOCLOSAN, NOT FOUND, 10 MG COMP CT 02 BL AL PLAS INC X 10, SNV
530804602135414, METOCLOSAN, METOCLOSAN, NOT FOUND, 4MG/ML SOL ORAL CT FR PLAS OPC X 10 ML, SNV
530804701168116, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 100MG/G GEL VAG CT 01 BENS AL X 50 G + 10 APLIC, SNV
530804801111418, METROVAL, METROVAL, NOT FOUND, 250 MG COMP CT 02 BL AL PLAS INC X 10, SNV
530804805133416, METROVAL, METROVAL, NOT FOUND, 40 MG/ML SUS OR CT 50 FR VD AMB X 100 ML (EMB HOSP), SNV
530804803165418, METROVAL, METROVAL, NOT FOUND, GEL VAG CT BINS AL X 50 G + APLIC, SNV
530806001112416, MEDROXON, MEDROXON, NOT FOUND, 10 MG COMP CX CT 01 BL AL PLAS INC X 10, SNV
530804601112410, METOCLOSAN, METOCLOSAN, NOT FOUND, 10 MG COMP CT 02 BL AL PLAS INC X 10, SNV
530804602135414, METOCLOSAN, METOCLOSAN, NOT FOUND, 4MG/ML SOL ORAL CT FR PLAS OPC X 10 ML, SNV
530804701168116, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 100MG/G GEL VAG CT 01 BENS AL X 50 G + 10 APLIC, SNV
530804801111418, METROVAL, METROVAL, NOT FOUND, 250 MG COMP CT 02 BL AL PLAS INC X 10, SNV
530804805133416, METROVAL, METROVAL, NOT FOUND, 40 MG/ML SUS OR CT 50 FR VD AMB X 100 ML (EMB HOSP), SNV
530804803165418, METROVAL, METROVAL, NOT FOUND, GEL VAG CT BINS AL X 50 G + APLIC, SNV
530806001112416, MEDROXON, MEDROXON, NOT FOUND, 10 MG COMP CX CT 01 BL AL PLAS INC X 10, SNV
530804601112410, METOCLOSAN, METOCLOSAN, NOT FOUND, 10 MG COMP CT 02 BL AL PLAS INC X 10, SNV
530804602135414, METOCLOSAN, METOCLOSAN, NOT FOUND, 4MG/ML SOL ORAL CT FR PLAS OPC X 10 ML, SNV
530804701168116, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 100MG/G GEL VAG CT 01 BENS AL X 50 G + 10 APLIC, SNV
530804801111418, METROVAL, METROVAL, NOT FOUND, 250 MG COMP CT 02 BL AL PLAS INC X 10, SNV
530804805133416, METROVAL, METROVAL, NOT FOUND, 40 MG/ML SUS OR CT 50 FR VD AMB X 100 ML (EMB HOSP), SNV
530804803165418, METROVAL, METROVAL, NOT FOUND, GEL VAG CT BINS AL X 50 G + APLIC, SNV
530806001112416, MEDROXON, MEDROXON, NOT FOUND, 10 MG COMP CX CT 01 BL AL PLAS INC X 10, SNV
530804601112410, METOCLOSAN, METOCLOSAN, NOT FOUND, 10 MG COMP CT 02 BL AL PLAS INC X 10, SNV
530804602135414, METOCLOSAN, METOCLOSAN, NOT FOUND, 4MG/ML SOL ORAL CT FR PLAS OPC X 10 ML, SNV
530804701168116, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 100MG/G GEL VAG CT 01 BENS AL X 50 G + 10 APLIC, SNV
530804801111418, METROVAL, METROVAL, NOT FOUND, 250 MG COMP CT 02 BL AL PLAS INC X 10, SNV
530804805133416, METROVAL, METROVAL, NOT FOUND, 40 MG/ML SUS OR CT 50 FR VD AMB X 100 ML (EMB HOSP), SNV
