530806101168413; PROMETAZOL; PROMETAZOL; NOT FOUND; 20 MG/G CREM DERM CT BG AL X 30 G ; SNV
530806106161417; PROMETAZOL; PROMETAZOL; NOT FOUND; 20 MG/G CREM DERM CX 50 BG AL X 30 G (EMB HOSP); SNV
530806102113418; PROMETAZOL; PROMETAZOL; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 10 ; SNV
530806105112412; PROMETAZOL; PROMETAZOL; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 20; SNV
530806103111419; PROMETAZOL; PROMETAZOL; NOT FOUND; 25 MG COM REV CX BL AL PLAS INC X 500; SNV
530806104159415; PROMETAZOL; PROMETAZOL; NOT FOUND; 25 MG/ML SOL INJ CT 25 AMP VD AMB X 2 ML ( EMB HOSP); SNV
530806107158411; PROMETAZOL; PROMETAZOL; NOT FOUND; 25 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML (EMB HOSP) ; SNV
530806108154418; PROMETAZOL; PROMETAZOL; NOT FOUND; 25 MG/ML SOL INJ CX 100 AMP VD AMB X 2 ML (EMB HOSP); SNV
530806203114411; PRONASTERON; PRONASTERON; NOT FOUND; 1 MG COM CT BL AL PLAS AMB X 15; SNV
530806202118411; PRONASTERON; PRONASTERON; NOT FOUND; 1 MG COM CT BL AL PLAS AMB X 30; SNV
530806201111413; PRONASTERON; PRONASTERON; NOT FOUND; 5 MG COM CT BL AL PLAS AMB X 15; SNV
530805801115111; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT BL AL PLAS INC X 10; SNV
530805802111118; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT BL AL PLAS INC X 20; SNV
530805804114114; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT 25 BL AL PLAS INC X 20 (EMB HOSP); SNV
530805803118116; PREDNISONA; PREDNISONA; PREDNISONA; 5 MG COM CT BL AL PLAS INC X 20; SNV
530805805110112; PREDNISONA; PREDNISONA; PREDNISONA; 5 MG COM CT 25 BL AL PLAS INC X 20 (EMB HOSP); SNV
