530802801114410, DIABECONTROL, DIABECONTROL, NOT FOUND, 250 MG COM CT FR VD AMB X 100, SNV
530802802110419, DIABECONTROL, DIABECONTROL, NOT FOUND, 250 MG COM CX BL AL PLAS AMB X 500 (EMB. HOSP.), SNV
530802701136110, DEXAMETASONA, DEXAMETASONA, DEXAMETASONA, 0.1 MG/ML ELX CT FR VD AMB X 120 ML, SNV
530807903136414, DAZOTIL, DAZOTIL, NOT FOUND, 250 MG/5 ML SUS OR CT FR VD AMB X 30 ML, SNV
530807907131417, DAZOTIL, DAZOTIL, NOT FOUND, 250 MG/5 ML SUS OR CX 50 FR VD AMB X 30 ML (EMB HOSP) , SNV
530807908138415, DAZOTIL, DAZOTIL, NOT FOUND, 250 MG/5 ML SUS OR CT FR VD AMB X 40 ML, SNV
530807901133418, DAZOTIL, DAZOTIL, NOT FOUND, 250 MG/5 ML SUS OR CT FR VD AMB X 60 ML, SNV
530807904132412, DAZOTIL, DAZOTIL, NOT FOUND, 250 MG/5 ML SUS OR CX 50 FR VD AMB X 60 ML (EMB HOSP) , SNV
530807905112415, DAZOTIL, DAZOTIL, NOT FOUND, 500 MG COM CT BL AL PLAS INC X 12, SNV
530807906119413, DAZOTIL, DAZOTIL, NOT FOUND, 500 MG COM CT BL AL PLAS INC X 420 (EMB HOSP), SNV
530807902113410, DAZOTIL, DAZOTIL, NOT FOUND, 500 MG COM CT BL AL PLAS INC X 06, SNV
