530807701134119, FENOBARBITAL, FENOBARBITAL, FENOBARBITAL, 40 MG/ML SOL OR CT FR VD AMB X 20ML, SNV
530803103119415, FERROTOTAL, FERROTOTAL, NOT FOUND, 40 MG COM REV CX 20 FR VD INC X 50, SNV
530803101116419, FERROTOTAL, FERROTOTAL, NOT FOUND, 40 MG FE ELEM COMP REV FR X 50, SNV
530803104131419, FERROTOTAL, FERROTOTAL, NOT FOUND, 68 MG/ML SOL OR CX 50 FR VD CGT X 30 ML, SNV
530803102139412, FERROTOTAL, FERROTOTAL, NOT FOUND, 68 MG/ML SOL ORAL CT FR CGT X 30 ML, SNV
530803301115416, FOLITAL, FOLITAL, NOT FOUND, 5 MG CX C/ 40 COMP, SNV
530803402116418, FUROSAN, FUROSAN, NOT FOUND, 40 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), SNV
530803401111412, FUROSAN, FUROSAN, NOT FOUND, 40 MG COMP CT 02 BL AL PLAS INC X 10, SNV
530807701134119, FENOBARBITAL, FENOBARBITAL, FENOBARBITAL, 40 MG/ML SOL OR CT FR VD AMB X 20ML, SNV
530803103119415, FERROTOTAL, FERROTOTAL, NOT FOUND, 40 MG COM REV CX 20 FR VD INC X 50, SNV
530803101116419, FERROTOTAL, FERROTOTAL, NOT FOUND, 40 MG FE ELEM COMP REV FR X 50, SNV
530803104131419, FERROTOTAL, FERROTOTAL, NOT FOUND, 68 MG/ML SOL OR CX 50 FR VD CGT X 30 ML, SNV
530803102139412, FERROTOTAL, FERROTOTAL, NOT FOUND, 68 MG/ML SOL ORAL CT FR CGT X 30 ML, SNV
530803301115416, FOLITAL, FOLITAL, NOT FOUND, 5 MG CX C/ 40 COMP, SNV
530803402116418, FUROSAN, FUROSAN, NOT FOUND, 40 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), SNV
530803401111412, FUROSAN, FUROSAN, NOT FOUND, 40 MG COMP CT 02 BL AL PLAS INC X 10, SNV
530807701134119, FENOBARBITAL, FENOBARBITAL, FENOBARBITAL, 40 MG/ML SOL OR CT FR VD AMB X 20ML, SNV
530803103119415, FERROTOTAL, FERROTOTAL, NOT FOUND, 40 MG COM REV CX 20 FR VD INC X 50, SNV
530803101116419, FERROTOTAL, FERROTOTAL, NOT FOUND, 40 MG FE ELEM COMP REV FR X 50, SNV
530803104131419, FERROTOTAL, FERROTOTAL, NOT FOUND, 68 MG/ML SOL OR CX 50 FR VD CGT X 30 ML, SNV
530803102139412, FERROTOTAL, FERROTOTAL, NOT FOUND, 68 MG/ML SOL ORAL CT FR CGT X 30 ML, SNV
530803301115416, FOLITAL, FOLITAL, NOT FOUND, 5 MG CX C/ 40 COMP, SNV
530803402116418, FUROSAN, FUROSAN, NOT FOUND, 40 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), SNV
530803401111412, FUROSAN, FUROSAN, NOT FOUND, 40 MG COMP CT 02 BL AL PLAS INC X 10, SNV
530807701134119, FENOBARBITAL, FENOBARBITAL, FENOBARBITAL, 40 MG/ML SOL OR CT FR VD AMB X 20ML, SNV
530803103119415, FERROTOTAL, FERROTOTAL, NOT FOUND, 40 MG COM REV CX 20 FR VD INC X 50, SNV
530803101116419, FERROTOTAL, FERROTOTAL, NOT FOUND, 40 MG FE ELEM COMP REV FR X 50, SNV
