530807001175416, VALFIRAN, VALFIRAN, NOT FOUND, 25% SOL TOP CT FR VD AMB X 100 ML, SNV
530807002171414, VALFIRAN, VALFIRAN, NOT FOUND, 25% SOL TOP CX 50 FR VD AMB X 100 ML, SNV
530807402110412, VERAVAL, VERAVAL, NOT FOUND, 80 MG COM REV CX 50 BL AL PLAS AMB X 10, SNV
530807401114414, VERAVAL, VERAVAL, NOT FOUND, 80 MG DRG CT 02 BL AL PLAS AMB X 10, SNV
530807502131411, VITADESAN, VITADESAN, NOT FOUND, 3.000 + 800 UI/ML SOL OR CX 50 FR VD CGT X 10 ML, SNV
530807501135413, VITADESAN, VITADESAN, NOT FOUND, 300OUI + 800UI/ML SOL ORAL CT FR VD CGT X 10 ML, SNV
530807001175416, VALFIRAN, VALFIRAN, NOT FOUND, 25% SOL TOP CT FR VD AMB X 100 ML, SNV
530807002171414, VALFIRAN, VALFIRAN, NOT FOUND, 25% SOL TOP CX 50 FR VD AMB X 100 ML, SNV
530807402110412, VERAVAL, VERAVAL, NOT FOUND, 80 MG COM REV CX 50 BL AL PLAS AMB X 10, SNV
530807401114414, VERAVAL, VERAVAL, NOT FOUND, 80 MG DRG CT 02 BL AL PLAS AMB X 10, SNV
530807502131411, VITADESAN, VITADESAN, NOT FOUND, 3.000 + 800 UI/ML SOL OR CX 50 FR VD CGT X 10 ML, SNV
530807501135413, VITADESAN, VITADESAN, NOT FOUND, 300OUI + 800UI/ML SOL ORAL CT FR VD CGT X 10 ML, SNV
530807001175416, VALFIRAN, VALFIRAN, NOT FOUND, 25% SOL TOP CT FR VD AMB X 100 ML, SNV
530807002171414, VALFIRAN, VALFIRAN, NOT FOUND, 25% SOL TOP CX 50 FR VD AMB X 100 ML, SNV
530807402110412, VERAVAL, VERAVAL, NOT FOUND, 80 MG COM REV CX 50 BL AL PLAS AMB X 10, SNV
530807401114414, VERAVAL, VERAVAL, NOT FOUND, 80 MG DRG CT 02 BL AL PLAS AMB X 10, SNV
530807502131411, VITADESAN, VITADESAN, NOT FOUND, 3.000 + 800 UI/ML SOL OR CX 50 FR VD CGT X 10 ML, SNV
530807501135413, VITADESAN, VITADESAN, NOT FOUND, 300OUI + 800UI/ML SOL ORAL CT FR VD CGT X 10 ML, SNV
530807001175416, VALFIRAN, VALFIRAN, NOT FOUND, 25% SOL TOP CT FR VD AMB X 100 ML, SNV
530807002171414, VALFIRAN, VALFIRAN, NOT FOUND, 25% SOL TOP CX 50 FR VD AMB X 100 ML, SNV
530807402110412, VERAVAL, VERAVAL, NOT FOUND, 80 MG COM REV CX 50 BL AL PLAS AMB X 10, SNV
530807401114414, VERAVAL, VERAVAL, NOT FOUND, 80 MG DRG CT 02 BL AL PLAS AMB X 10, SNV
530807502131411, VITADESAN, VITADESAN, NOT FOUND, 3.000 + 800 UI/ML SOL OR CX 50 FR VD CGT X 10 ML, SNV
530807501135413, VITADESAN, VITADESAN, NOT FOUND, 300OUI + 800UI/ML SOL ORAL CT FR VD CGT X 10 ML, SNV
530807001175416, VALFIRAN, VALFIRAN, NOT FOUND, 25% SOL TOP CT FR VD AMB X 100 ML, SNV
530807002171414, VALFIRAN, VALFIRAN, NOT FOUND, 25% SOL TOP CX 50 FR VD AMB X 100 ML, SNV
530807402110412, VERAVAL, VERAVAL, NOT FOUND, 80 MG COM REV CX 50 BL AL PLAS AMB X 10, SNV
