530800102111416, ACIDERM, ACIDERM, NOT FOUND, 200 MG COMP CT BL AL PLAS INC X 10, SNV
530800201136417, ALERGYO, ALERGYO, NOT FOUND, 2 MG /5ML SOL ORAL CT FR VD AMB X 100 ML, SNV
530800202116411, ALERGYO, ALERGYO, NOT FOUND, 2MG COMP CT BL AL PLAS INC X 20, SNV
530800301114415, ALUDROXIL, ALUDROXIL, NOT FOUND, 300 MG COMP CT 03 BL AL PLAS INC X 8, SNV
530800302137419, ALUDROXIL, ALUDROXIL, NOT FOUND, 62 MG/ML SUSP. ORAL CT FR VD AMB X 200 ML, SNV
530800303133417, ALUDROXIL, ALUDROXIL, NOT FOUND, 62 MG/ML SUSP.ORAL CT FR VD AMB X 100ML, SNV
530800401119117, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT 01 BL AL PLAS INC X 15, SNV
530800402115115, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT 01 BL AL PLAS INC X 21, SNV
530800403111113, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CX BL AL PLAS INC X 500 (EMB HOSP) , SNV
530800701112411, ANGIL, ANGIL, NOT FOUND, 10 MG COMP CT 01 BL AL PLAS INC X 20, SNV
530800703115416, ANGIL, ANGIL, NOT FOUND, 10MG COM CX 50 BL AL PLAS INC X 10, SNV
530800704111414, ANGIL, ANGIL, NOT FOUND, 5MG COM SUB LINGUAL CX 50 BL AL PLAS INC X 10, SNV
530800702119418, ANGIL, ANGIL, NOT FOUND, 5MG COMP SUBLINGUAL CT 01 BL AL PLAS INC X 20, SNV
530800102111416, ACIDERM, ACIDERM, NOT FOUND, 200 MG COMP CT BL AL PLAS INC X 10, SNV
530800201136417, ALERGYO, ALERGYO, NOT FOUND, 2 MG /5ML SOL ORAL CT FR VD AMB X 100 ML, SNV
530800202116411, ALERGYO, ALERGYO, NOT FOUND, 2MG COMP CT BL AL PLAS INC X 20, SNV
530800301114415, ALUDROXIL, ALUDROXIL, NOT FOUND, 300 MG COMP CT 03 BL AL PLAS INC X 8, SNV
