47363, BALCOR , BALCOR, NOT FOUND, CAPS RETARD 120 MG x 20, BAL
72166, BALCOR , BALCOR, NOT FOUND, CAPS RETARD 120 MG x 30, BAL
47364, BALCOR , BALCOR, NOT FOUND, CAPS RETARD 180 MG x 20, BAL
72167, BALCOR , BALCOR, NOT FOUND, CAPS RETARD 180 MG x 30, BAL
55416, BALCOR , BALCOR, NOT FOUND, CAPS RETARD 300 MG x 20, BAL
72168, BALCOR , BALCOR, NOT FOUND, CAPS RETARD 300 MG x 30, BAL
48732, BALCOR , BALCOR, NOT FOUND, CAPS RETARD 90 MG x 20, BAL
72165, BALCOR , BALCOR, NOT FOUND, CAPS RETARD 90 MG x 30, BAL
44210, BALCOR , BALCOR, NOT FOUND, CPR 30 MG x 20, BAL
72162, BALCOR , BALCOR, NOT FOUND, CPR 30 MG x 30, BAL
43459, BALCOR , BALCOR, NOT FOUND, CPR 30 MG x 50, BAL
72163, BALCOR , BALCOR, NOT FOUND, CPR 30 MG x 60, BAL
45884, BALCOR , BALCOR, NOT FOUND, CPR 60 MG x 24, BAL
72164, BALCOR , BALCOR, NOT FOUND, CPR 60 MG x 30, BAL
63776, BALCOR , BALCOR, NOT FOUND, CPR 60 MG x 60, BAL
52844, BALCOR E.V. , BALCOR E V, NOT FOUND, F.IV LIOF 25 MG 5 ML x 1, BAL
52845, BALCOR E.V. , BALCOR E V, NOT FOUND, F.IV LIOF 50 MG 10 ML x 1, BAL
32455, BALUROL , BALUROL, NOT FOUND, CAPS 400 MG x 20, BAL
