525904901111117; ACECLOFENACO; ACECLOFENACO; ACECLOFENACO; 100 MG COM REV CT BL AL/AL X 12; MB9
525904101166111; ACICLOVIR; ACICLOVIR; ACICLOVIR; 50 MG/G CREM DERM CT BG AL X 10 G; MB9
525906201117119; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL/PLAS INC X 15; MB9
525906202113117; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL/PLAS INC X 21; MB9
525912050015506; AMOXICILINA TRIIDRATADA; AMOXICILINA TRIIDRATADA; NOT FOUND; 100 MG/ML PO SUS OR CT FR VD AMB X 15 G (150 ML) + COP; MB9
525912050015606; AMOXICILINA TRIIDRATADA; AMOXICILINA TRIIDRATADA; NOT FOUND; 50 MG/ML PO SUS OR CT FR VD AMB X 3 G (60 ML) + COP; MB9
525912050015706; AMOXICILINA TRIIDRATADA; AMOXICILINA TRIIDRATADA; NOT FOUND; 50 MG/ML PO SUS OR CT FR VD AMB X 7.5 G (150 ML) + COP; MB9
525900101137410; AMPICILAB; AMPICILAB; NOT FOUND; 3 G PO SUS OR CT FR VD AMB; MB9
525900105132413; AMPICILAB; AMPICILAB; NOT FOUND; 3 G PO SUS OR CX 50 FR VD AMB; MB9
525900102117413; AMPICILAB; AMPICILAB; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 10; MB9
525912040015406; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 10; MB9
525900103113411; AMPICILAB; AMPICILAB; NOT FOUND; 500 MG CAP GEL DURA CX BL AL PLAS INC X 200 (EMB HOSP); MB9
525900104111412; AMPICILAB; AMPICILAB; NOT FOUND; 500 MG CAP GEL DURA CX BL AL PLAS INC X 600 (EMB HOSP); MB9
525900202111417; ATENOLAB; ATENOLAB; NOT FOUND; 100MG COM CT BL AL PLAS INC X 28 ; MB9
525912040014706; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 28 ; MB9
525912040014403; ATENOLAB; ATENOLAB; NOT FOUND; 100MG COM CT BL AL PLAS TRANS X 30; MB9
525913050018106; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS TRANS X 30; MB9
525900203118415; ATENOLAB; ATENOLAB; NOT FOUND; 100MG COM CT BL AL PLAS INC X 700 (EMB HOSP); MB9
525900204114413; ATENOLAB; ATENOLAB; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 28; MB9
525912040014906; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 28 ; MB9
525912040014203; ATENOLAB; ATENOLAB; NOT FOUND; 25 MG COM CT BL AL PLAS TRANS X 30; MB9
525912040014806; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS TRANS X 30; MB9
525900201115419; ATENOLAB; ATENOLAB; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 28 ; MB9
525912040014606; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 28 ; MB9
525912040014303; ATENOLAB; ATENOLAB; NOT FOUND; 50 MG COM CT BL AL PLAS TRANS X 30; MB9
525912040015006; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS TRANS X 30; MB9
525903301137419; AZITROLAB; AZITROLAB; NOT FOUND; 1000 MG COM REV CT  BL AL PLAS INC X 1; MB9
525903302117411; AZITROLAB; AZITROLAB; NOT FOUND; 500 MG COM REV CT  BL AL PLAS INC X 3; MB9
525912050015903; AZITROLAB; AZITROLAB; NOT FOUND; 500 MG COM REV CT  BL AL PLAS INC X 6; MB9
