525900702173411; DELTALAB; DELTALAB; NOT FOUND; 0.2 MG/ML XAMP CT FR PLAS OPC X 100 ML; MB9
525900703171412; DELTALAB; DELTALAB; NOT FOUND; 0.2 MG/ML XAMP CX 162 FR PLAS OPC X 100 ML; MB9
525900701177413; DELTALAB; DELTALAB; NOT FOUND; 0.2 MG/ML LOC CT FR PLAS OPC X 100 ML; MB9
525914070019206; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CT FR VD AMB X 100 ML + COP ; MB9
525914070019306; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CX 50 FR VD AMB X 100 ML + 50 COP (EMB HOSP); MB9
525914070019406; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CT FR PET AMB X 100 ML + COP ; MB9
525914070019506; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CX 50 FR PET AMB X 100 ML + 50 COP (EMB HOSP) ; MB9
525900901117414; DICLOSODICO; DICLOSODICO; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 20; MB9
525912050015806; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COMP REV OR CT BL PLAS TRANS X 20; MB9
525914070019904; DORSANOL; DORSANOL; NOT FOUND; 500 MG PO SOL CX 50 ENV AL/PLAS 5 G (EMB MULT) ABACAXI; MB9
525914070020004; DORSANOL; DORSANOL; NOT FOUND; 500 MG PO SOL CX 50 ENV AL/PLAS 5 G (EMB MULT) CAMOMILA; MB9
525914070020104; DORSANOL; DORSANOL; NOT FOUND; 500 MG PO SOL CX 50 ENV AL/PLAS 5 G (EMB MULT) MACA CANELA; MB9
525914070020204; DORSANOL; DORSANOL; NOT FOUND; 500 MG PO SOL CX 50 ENV AL/PLAS 5 G (EMB MULT) LARANJA ; MB9
525914070020304; DORSANOL; DORSANOL; NOT FOUND; 500 MG PO SOL CX 50 ENV AL/PLAS 5 G (EMB MULT) MEL LIMAO ; MB9
525903102134411; DORSANOL; DORSANOL; NOT FOUND; 200 MG/ML SOL OR CT FR PLAS OPC X 15 ML; MB9
525903103114412; DORSANOL; DORSANOL; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 20; MB9
525903104110410; DORSANOL; DORSANOL; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 200 (EMB MULT); MB9
