525905701116415; CECOFENE; CECOFENE; NOT FOUND; 100 MG COM REV CT BL AL/AL X 12; MB9
525900601164417; CORTITOP; CORTITOP; NOT FOUND; 1.0 MG/G CREM DERM CT BG AL X 10 G  ; MB9
525900602160415; CORTITOP; CORTITOP; NOT FOUND; 1.0 MG/G CREM DERM CX 50 BG AL X 10 G   (EMB HOSP); MB9
525914120021206; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAS TRANS X 30 ; MB9
525914120021306; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAS TRANS X 450 (EMB HOSP); MB9
525900304119417; CAPTOLAB; CAPTOLAB; NOT FOUND; 12.5 MG COM CT BL AL PLAS X 30 ; MB9
525900302116410; CAPTOLAB; CAPTOLAB; NOT FOUND; 25 MG COM CT BL AL PLAS X 30; MB9
525900307118411; CAPTOLAB; CAPTOLAB; NOT FOUND; 25 MG COM CT BL AL PLAS X 60; MB9
525900306111413; CAPTOLAB; CAPTOLAB; NOT FOUND; 25 MG COM CT BL AL PLAS X 750 (EMB HOSP); MB9
525900305115415; CAPTOLAB; CAPTOLAB; NOT FOUND; 50 MG COM CT BL AL PLAS X 30; MB9
525914030018404; CEFAGEL; CEFAGEL; NOT FOUND; 50 MG/ML PO SUS OR CT FR VD AMB X 60 ML + COP; MB9
525903901118415; CEFAGEL; CEFAGEL; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 10; MB9
525903902114413; CEFAGEL; CEFAGEL; NOT FOUND; 500 MG CAP GEL DURA CX BL AL PLAS INC X 500 (EMB HOSP); MB9
525914030018504; CEFAGEL; CEFAGEL; NOT FOUND; 50 MG/ML PO SUS OR CT FR VD AMB X 100 ML + COP ; MB9
525914040018706; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/G CREM DERM CT BG AL X 30 G ; MB9
525914040018806; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/G CREM DERM CX 50 BG AL X 30 G (EMB HOSP); MB9
525900501119411; CIMETILAB; CIMETILAB; NOT FOUND; 200 MG COM REV CT BL AL PLAS INC X 40; MB9
525904601118116; CIMETIDINA; CIMETIDINA; CIMETIDINA; 200 MG COM REV CT BL AL PLAS INC X 40; MB9
525900502115418; CIMETILAB; CIMETILAB; NOT FOUND; 400 MG COM REV CT BL AL PLAS INC X 20; MB9
525904602114114; CIMETIDINA; CIMETIDINA; CIMETIDINA; 400 MG COM REV CT BL AL PLAS INC X 20; MB9
525912040015306; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 10 MG COM REV CT BL AL PLAS INC X 30; MB9
525912040015206; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 5 MG COM REV CT BL AL PLAS INC X 30; MB9
525905901115110; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 14 ; MB9
525906001118413; CICLATRY; CICLATRY; NOT FOUND; 500 MG COMP REV CT BL AL PLAS INC X 14; MB9
525912070016706; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 30; MB9
525912070016806; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 60; MB9
525903803116418; CARDIX; CARDIX; NOT FOUND; 40 MG COM CT BL AL PLAS X 1000 ; MB9
525912040015103; CARDIX; CARDIX; NOT FOUND; 40 MG COM CT BL AL PLAS X 30; MB9
525903601114414; CARDIX; CARDIX; NOT FOUND; 40 MG COM CT BL AL PLAS X 40; MB9
525903801113411; CARDIX; CARDIX; NOT FOUND; 80 MG COM CT BL AL PLAS X 20; MB9
525904701163113; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 10 MG/G CREM DERM CT BG AL X 20 G; MB9
525904702161114; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 10 MG/G CREM VAG CT BG AL X 35 G + 6 APLIC; MB9
525914090020617; COCICHIMIL; COCICHIMIL; NOT FOUND; 0.5 MG COM CT BL AL PLAS OPC X 20; MB9
525914090020707; COCICHIMIL; COCICHIMIL; NOT FOUND; 1 MG COM CT BL AL PLAS OPC X 30; MB9
525913050018204; COLPLEN; COLPLEN; NOT FOUND; 100 MG/G GEL VAG CT BG AL X 50 G + 10 APLIC; MB9
525912100017204; CORTITOP; CORTITOP; NOT FOUND; 0.1 MG/ML ELX CT FR PET AMB X 100 ML + CP MED; MB9
525913050018003; COSELEN; COSELEN; NOT FOUND; 10 MG/G LOC DERM CT FR PLAS OPC GOT X 30 ML; MB9
525913050017903; COSELEN; COSELEN; NOT FOUND; 280 MG/ML SOL TOP CT FR VD AMB X 10 ML; MB9
