93218; IBUPROFENO MG ; IBUPROFENO; IBUPROFENO; GOTAS 100 MG 20 ML x 1 (/ML); GOB
75564; IBUPROFENO MG ; IBUPROFENO; IBUPROFENO; GOTAS 50 MG 30 ML x 1 (/ML); GOB
93119; IBUVIX ; IBUVIX; NOT FOUND; CPR 300 MG x 20; GOB
90256; IBUVIX ; IBUVIX; NOT FOUND; CPR 300 MG x 200; GOB
90254; IBUVIX ; IBUVIX; NOT FOUND; CPR 300 MG x 30; GOB
90253; IBUVIX ; IBUVIX; NOT FOUND; CPR 400 MG x 10; GOB
166124; IBUVIX ; IBUVIX; NOT FOUND; CPR REV 600 MG x 20; GOB
166123; IBUVIX ; IBUVIX; NOT FOUND; CPR REV 600 MG x 30; GOB
165690; IBUVIX ; IBUVIX; NOT FOUND; CPR REVEST 300 MG x 500; GOB
93123; IBUVIX ; IBUVIX; NOT FOUND; GOTAS 100 MG 20 ML x 1 (/ML); GOB
75565; IBUVIX ; IBUVIX; NOT FOUND; GOTAS 50 MG 30 ML x 1 (/ML); GOB
