63733; CAPOX ; CAPOX; NOT FOUND; CPR 25 MG x 30; GOB
76920; CAPOX ; CAPOX; NOT FOUND; CPR 25 MG x 750; GOB
63734; CAPOX ; CAPOX; NOT FOUND; CPR 50 MG x 30; GOB
76826; CAPOX ; CAPOX; NOT FOUND; CPR 50 MG x 750; GOB
73875; CARBOCISTEINA MG ; CARBOCISTEINA; CARBOCISTEINA; XAR. 50 MG 100 ML x 1 (/ML); GOB
73653; CARBOCISTEINA MG ; CARBOCISTEINA; CARBOCISTEINA; XAR. PED. 20 MG 100 ML x 1 (/ML); GOB
64848; CELETIL ; CELETIL; NOT FOUND; CPR x 20; GOB
71703; CELETIL ; CELETIL; NOT FOUND; XAROPE 120 ML x 1; GOB
75280; CET+D.BET+S.NEO MG ; CET D BET S NEO; NOT FOUND; CREME 30 G x 1; GOB
75281; CET+D.BET+S.NEO MG ; CET D BET S NEO; NOT FOUND; POM. 30 G x 1; GOB
72848; CETADEX ; CETADEX; NOT FOUND; CREME 1 MG 10 G x 1 (/G); GOB
72283; CETATEN N ; CETATEN N; NOT FOUND; CREME DERMAT 10 MG 40 G x 1 (/G); GOB
72174; CETO+DIP BETAME MG ; CETO DIP BETAME; NOT FOUND; CREME 20 MG 30 G x 1 (/G); GOB
72175; CETO+DIP BETAME MG ; CETO DIP BETAME; NOT FOUND; POM. 20 MG 30 G x 1 (/G); GOB
70837; CETOCONAZOL MG ; CETOCONAZOL; CETOCONAZOL; CREME 20 MG 30 G x 1 (/G); GOB
120316; CETORO.TROMETAM.MG ; CETORO TROMETAM; NOT FOUND; SOLN OFTAL 4 MG 10 ML x 1 (/ML; GOB
76640; CETORO.TROMETAM.MG ; CETORO TROMETAM; NOT FOUND; SOLN OFTAL 5 MG 5 ML x 1 (/ML); GOB
64852; CIPRIX ; CIPRIX; NOT FOUND; CPR REVEST 500 MG x 14; GOB
67452; CIPRIX ; CIPRIX; NOT FOUND; CPR REVEST 500 MG x 300; GOB
78537; CIPRIXIN DEXA ; CIPRIXIN DEXA; NOT FOUND; SOLN OFTAL 5 ML x 1; GOB
79142; CIPROFLOX+DEXA.MG ; CIPROFLOX DEXA; NOT FOUND; SOLN OFTAL 5 ML x 1; GOB
113364; CISTEIL ; CISTEIL; NOT FOUND; SACHE 200 MG 5 G x 16; GOB
113360; CISTEIL ; CISTEIL; NOT FOUND; SACHE 600 MG 5 G x 16; GOB
76200; CISTEIL ; CISTEIL; NOT FOUND; XAR. AD 40 MG 120 ML x 1 (/ML); GOB
76196; CISTEIL ; CISTEIL; NOT FOUND; XAR. INF 20 MG 120 ML x 1 (/ML); GOB
63736; CIVERTIM ; CIVERTIM; NOT FOUND; CPR 25 MG x 30; GOB
67453; CIVERTIM ; CIVERTIM; NOT FOUND; CPR 25 MG x 450; GOB
63735; CIVERTIM ; CIVERTIM; NOT FOUND; CPR 75 MG x 30; GOB
72849; CIVERTIM ; CIVERTIM; NOT FOUND; CPR 75 MG x 450; GOB
64854; CIXIN ; CIXIN; NOT FOUND; CPR 0.50 MG x 20; GOB
84391; CLO HIDROXIZINA MG ; CLO HIDROXIZINA; NOT FOUND; SOL ORAL. 2 MG 120 ML x 1 (/ML); GOB
95270; CLONAZEPAM MG ; CLONAZEPAM; CLONAZEPAM; GOTAS 2.50 MG 20 ML x 1 (/ML); GOB
95271; CLONAZEPAM MG ; CLONAZEPAM; CLONAZEPAM; GOTAS 2.50 MG 20 ML x 50 (/ML); GOB
84632; CLOR BETAXOLOL MG ; CLOR BETAXOLOL; CLORIDRATO BETAXOLOL; SOL OFTAL 5 MG 5 ML x 1 (/ML); GOB
71654; CLOR. AMBROXOL MG ; CLOR AMBROXOL; CLORIDRATO AMBROXOL; XAR. AD 30 MG 120 ML x 1 (/5ML); GOB
71653; CLOR. AMBROXOL MG ; CLOR AMBROXOL; CLORIDRATO AMBROXOL; XAR. PED. 15 MG 120 ML x 1 (/5ML; GOB
93134; CLOR. BROMEXINA MG ; CLOR BROMEXINA; CLORIDRATO BROMEXINA; XAR AD. 8 MG 120 ML x 1 (/5ML); GOB
93136; CLOR. BROMEXINA MG ; CLOR BROMEXINA; CLORIDRATO BROMEXINA; XAR. PED. 4 MG 120 ML x 1 (/5ML; GOB
76832; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 500 MG x 14; GOB
76939; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; XAR. 75 MG 120 ML x 1 (/5ML); GOB
96187; CLOR.TANSULOSI MG ; CLOR TANSULOSI; CLORIDRATO TANSULOSINA; CAPS 0.40 MG x 20; GOB
73218; CLOTRI+AC.DEXAM.MG ; CLOTRI AC DEXAM; NOT FOUND; CREME 40 G x 1; GOB
134984; COLCHICINA MG ; COLCHICINA; COLCHICINA; CPR 0.50 MG x 30; GOB
95697; COLIRIO GEOLAB ; COLIRIO GEOLAB; NOT FOUND; SOL OFTAL 0.15 MG 20 ML x 1 (/0.3); GOB
71984; CONACORT ; CONACORT; NOT FOUND; CREME 30 G x 1; GOB
71983; CONACORT ; CONACORT; NOT FOUND; POM. 30 G x 1; GOB
