63737; FELDANAX ; FELDANAX; NOT FOUND; CAPS 10 MG x 15; GOB
63738; FELDANAX ; FELDANAX; NOT FOUND; CAPS 20 MG x 15; GOB
68045; FELDANAX ; FELDANAX; NOT FOUND; CAPS 20 MG x 450; GOB
70477; FITO BILOBA ; FITO BILOBA; NOT FOUND; CPR 120 MG x 30; GOB
70479; FITO BILOBA ; FITO BILOBA; NOT FOUND; CPR 80 MG x 30; GOB
82222; FL+NEO+PO+B+LID MG ; FL NEO PO B LID; NOT FOUND; SOLN OTO. 10 ML x 1; GOB
67462; FLEXALGEX ; FLEXALGEX; NOT FOUND; CPR x 100; GOB
63740; FLEXALGIN ; FLEXALGIN; NOT FOUND; CPR x 100; GOB
84703; FLEXALGIN ; FLEXALGIN; NOT FOUND; CPR x 15; GOB
63739; FLEXALGIN ; FLEXALGIN; NOT FOUND; CPR x 30; GOB
63741; FLUCANIL ; FLUCANIL; NOT FOUND; CAPS 150 MG x 1; GOB
63742; FLUCANIL ; FLUCANIL; NOT FOUND; CAPS 150 MG x 2; GOB
72861; FLUCANIL ; FLUCANIL; NOT FOUND; CAPS 150 MG x 50; GOB
74552; FLUILITIC ; FLUILITIC; NOT FOUND; XAR. AD 50 MG 100 ML x 1 (/ML); GOB
74553; FLUILITIC ; FLUILITIC; NOT FOUND; XAR. PED. 20 MG 100 ML x 1 (/ML); GOB
74720; FLUISOLVAN ; FLUISOLVAN; NOT FOUND; XAR. AD 30 MG 120 ML x 1 (/5ML); GOB
74330; FLUISOLVAN ; FLUISOLVAN; NOT FOUND; XAR. INF 3 MG 120 ML x 1 (/ML); GOB
76719; FOLONIN ; FOLONIN; NOT FOUND; CPR REVEST 5 MG x 20; GOB
78963; FOLONIN ; FOLONIN; NOT FOUND; CPR REVEST 5 MG x 500; GOB
