75686, MAL.DEXCLO+BETA.MG , MAL DEXCLO BETA, NOT FOUND, XAROPE 120 ML x 1, GOB
70611, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, SOLN ORAL 2 MG 120 ML x 1 (/5ML, GOB
120320, MAXIVIEW , MAXIVIEW, NOT FOUND, SUSP OFTAL 5 ML x 1, GOB
71750, MEBENDAZOL MG , MEBENDAZOL, MEBENDAZOL, SUSP 100 MG 30 ML x 1 (/5ML), GOB
64922, MENBEL , MENBEL, NOT FOUND, CPR 100 MG x 6, GOB
93125, MENBEL , MENBEL, NOT FOUND, CPR 500 MG x 1, GOB
68849, MENBEL , MENBEL, NOT FOUND, SUSP 20 MG 30 ML x 1 (/ML), GOB
95078, MERTISEPT , MERTISEPT, NOT FOUND, SOL TOP. 10 MG 30 ML x 1 (/ML), GOB
95083, MERTISEPT , MERTISEPT, NOT FOUND, SPRAY 10 MG 45 ML x 1 (/ML), GOB
75715, METRO+NISTATINA MG , METRO NISTATINA, NOT FOUND, CR.VAG.10APL 50 G x 1, GOB
71572, METRONIDAZOL MG , METRONIDAZOL, METRONIDAZOL, CR.VAG.10APL 100 MG 50 G x 1 (/G), GOB
150773, MIRACALCIO VIT D , MIRACALCIO VIT D, NOT FOUND, CPR RE 500MG 400 IU x 60, GOB
150175, MIRACALCIO VIT D , MIRACALCIO VIT D, NOT FOUND, CPR RE 600MG 400 IU x 60, GOB
78235, MIRACALCIO VIT D , MIRACALCIO VIT D, NOT FOUND, CPR REVEST x 75, GOB
71407, MIZONOL , MIZONOL, NOT FOUND, CREME DERMAT 20 MG 28 G x 1 (/G), GOB
