63229, NIOXIL , NIOXIL, NOT FOUND, CPR 10 MG x 30, GOB
71941, NIOXIL , NIOXIL, NOT FOUND, CPR 10 MG x 450, GOB
63230, NIOXIL , NIOXIL, NOT FOUND, CPR 20 MG x 20, GOB
69047, NIOXIL , NIOXIL, NOT FOUND, CPR 20 MG x 30, GOB
67106, NIOXIL , NIOXIL, NOT FOUND, CPR 20 MG x 450, GOB
63748, NISOFLAN , NISOFLAN, NOT FOUND, CPR 100 MG x 12, GOB
65683, NISOFLAN , NISOFLAN, NOT FOUND, CPR 100 MG x 480, GOB
94294, NISOFLAN , NISOFLAN, NOT FOUND, GOTAS 50 MG 15 ML x 1 (/ML), GOB
71695, NISTATINA MG , NISTATINA, NISTATINA, CR.VAG.14APL 25 K 60 G x 1 (/G), GOB
75866, NISTRAZIN , NISTRAZIN, NOT FOUND, CR.VAG.14APL 25 IU 60 G x 1 (/G), GOB
73156, NITR.ISOCONAZOL MG , NITR ISOCONAZOL, NITRATO ISOCONAZOL, CREME DERMAT 10 MG 20 G x 1 (/G, GOB
71353, NITRA.MICONA.CR.MG , NITRA MICONA CR, NOT FOUND, CREME DERMAT 20 MG 28 G x 1 (/G, GOB
70615, NITRA.MICONAZOL MG , NITRA MICONAZOL, NITRATO MICONAZOL, CR.VAG.14APL 20 MG 80 G x 1 (/G, GOB
