76888; PANTODEX ; PANTODEX; NOT FOUND; POM. 50 MG 30 G x 1 (/G); GOB
146571; PARACETA+CODE MG ; PARACETA CODE; NOT FOUND; CPR x 12; GOB
70324; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; GOTAS 200 MG 15 ML x 1 (/ML); GOB
73310; PIROXICAM MG ; PIROXICAM; PIROXICAM; GEL. 5 MG 30 G x 1 (/G); GOB
94166; PLANTALYVE ; PLANTALYVE; NOT FOUND; PO ENV LARAN 5 G x 10; GOB
94172; PLANTALYVE ; PLANTALYVE; NOT FOUND; PO ENV LARAN 5 G x 50; GOB
106700; POLOL ; POLOL; NOT FOUND; CPR 40 MG x 30; GOB
63041; POLOL ; POLOL; NOT FOUND; CPR 40 MG x 40; GOB
67109; POLOL ; POLOL; NOT FOUND; CPR 40 MG x 600; GOB
63751; POLOL H ; POLOL H; NOT FOUND; CPR 40 MG x 30 (/25); GOB
64934; POLTAX ; POLTAX; NOT FOUND; CPR DISPER. 50 MG x 20; GOB
64933; POLTAX ; POLTAX; NOT FOUND; CPR REVEST 50 MG x 20; GOB
72879; POLTAX ; POLTAX; NOT FOUND; CPR REVEST 50 MG x 500; GOB
69270; POLTAX FLAN ; POLTAX FLAN; NOT FOUND; GEL. 60 G x 1; GOB
68586; PREDNAX ; PREDNAX; NOT FOUND; CPR 20 MG x 20; GOB
67111; PREDNAX ; PREDNAX; NOT FOUND; CPR 20 MG x 500; GOB
64937; PREDNAX ; PREDNAX; NOT FOUND; CPR 5 MG x 20; GOB
69355; PREDNAX ; PREDNAX; NOT FOUND; CPR 5 MG x 400; GOB
131066; PREDOPTIC ; PREDOPTIC; NOT FOUND; SUSP OFTAL 10 MG 5 ML x 1 (/ML); GOB
63754; PRYLTEC ; PRYLTEC; NOT FOUND; CPR 10 MG x 30; GOB
68287; PRYLTEC ; PRYLTEC; NOT FOUND; CPR 10 MG x 500; GOB
63755; PRYLTEC ; PRYLTEC; NOT FOUND; CPR 20 MG x 30; GOB
73646; PRYLTEC ; PRYLTEC; NOT FOUND; CPR 20 MG x 500; GOB
73242; PSORIZOL ; PSORIZOL; NOT FOUND; CREME 0.50 MG 30 G x 1; GOB
