120317; DEXA+NEOM+POL.B MG ; DEXA NEOM POL B; NOT FOUND; SUSP OFTAL 5 MG 5 ML x 1 (/ML); GOB
72642; DEXAMETASONA MG ; DEXAMETASONA; DEXAMETASONA; ELIXIR 0.10 MG 120 ML x 1 (/ML); GOB
70847; DICLOFEN.DIETIL.MG ; DICLOFEN DIETIL; DICLOFENACO DIETILAMONIO; GEL. 10 MG 60 G x 1 (/G); GOB
93140; DIMEFTAL ; DIMEFTAL; NOT FOUND; CPR MAST 125 MG x 10; GOB
79061; DIP.BET+SUL.GEN.MG ; DIP BET SUL GEN; NOT FOUND; CREME 30 G x 1; GOB
79060; DIP.BET+SUL.GEN.MG ; DIP BET SUL GEN; NOT FOUND; POM. 30 G x 1; GOB
76553; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; CPR 500 MG x 100; GOB
74088; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; GOTAS 500 MG 10 ML x 1 (/ML); GOB
74091; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; GOTAS 500 MG 20 ML x 1 (/ML); GOB
72187; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; SOLN ORAL 50 MG 100 ML x 1 (/M; GOB
70765; DIPRIN ; DIPRIN; NOT FOUND; CPR 500 MG x 100; GOB
69529; DIPRIN ; DIPRIN; NOT FOUND; GOTAS 500 MG 10 ML x 1 (/ML); GOB
69530; DIPRIN ; DIPRIN; NOT FOUND; GOTAS 500 MG 20 ML x 1 (/ML); GOB
70473; DIPRIN ; DIPRIN; NOT FOUND; SOLN ORAL 50 MG 100 ML x 1 (/ML); GOB
69531; DIPROP.BETAMETA.MG ; DIPROP BETAMETA; NOT FOUND; CREME 0.64 MG 30 G x 1 (/G); GOB
71744; DIPROP.BETAMETA.MG ; DIPROP BETAMETA; NOT FOUND; POM. 0.64 MG 30 G x 1 (/G); GOB
64876; DIUREMIDA ; DIUREMIDA; NOT FOUND; CPR 40 MG x 20; GOB
73782; DIUREMIDA ; DIUREMIDA; NOT FOUND; CPR 40 MG x 500; GOB
84392; DROTIZIN ; DROTIZIN; NOT FOUND; SOL ORAL. 2 MG 120 ML x 1 (/ML); GOB
